$$$Vapor-Liquid Equilibrium Data Set 14177
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C8H10	106.167	108-38-3	m-Xylene
Pressure	28.00	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
369.95	0.000000.00000
366.35	0.01100	0.12300
364.85	0.01300	0.15700
363.85	0.01700	0.19500
360.55	0.02700	0.28000
357.55	0.03400	0.35800
354.55	0.04300	0.43000
353.65	0.04600	0.44500
351.75	0.05400	0.49000
348.55	0.06300	0.54800
341.35	0.10500	0.67300
339.95	0.12700	0.69800
338.75	0.14200	0.71500
336.55	0.16200	0.74800
335.25	0.18500	0.76100
332.95	0.22100	0.79100
330.75	0.26300	0.81900
328.55	0.31700	0.85100
326.95	0.38200	0.86800
325.95	0.44500	0.88100
324.75	0.52500	0.88600
323.75	0.58500	0.90100
323.55	0.60000	0.90700
322.05	0.68700	0.92200
321.25	0.77800	0.93500
320.25	0.86500	0.95300
319.95	0.92500	0.96700
319.65	0.96200	0.97900
319.05	0.99400	0.99600
317.75	1.000001.00000
Source
Di Cave S.; Mazzarotta B.: Isobaric Vapor-Liquid Equilibria for the Binary Systems Formed by Acetonitrile and Aromatic Hydrocarbons. J.Chem.Eng.Data 36 (1991) 293-297
$$$Vapor-Liquid Equilibrium Data Set 14178
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C8H10	106.167	108-38-3	m-Xylene
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	y1 [mol/mol]
412.15	0.000000.00000
410.65	0.00800	0.05200
408.85	0.01500	0.09800
407.25	0.02000	0.12500
405.75	0.02200	0.14800
404.25	0.03000	0.19200
403.25	0.03500	0.21500
402.55	0.03800	0.23800
401.55	0.04000	0.25800
400.35	0.04800	0.29000
399.15	0.05100	0.30500
397.55	0.05600	0.33800
396.15	0.06200	0.36800
394.75	0.06500	0.39200
392.65	0.07800	0.43800
390.65	0.08000	0.47200
389.15	0.08700	0.49700
386.55	0.10000	0.54300
381.85	0.13100	0.61500
380.35	0.14500	0.64500
378.35	0.16000	0.68200
375.95	0.18700	0.70700
373.55	0.21800	0.73000
373.25	0.22700	0.73500
371.05	0.25000	0.76300
367.25	0.33000	0.79500
367.05	0.33200	0.80500
365.05	0.39000	0.82700
364.45	0.39700	0.83000
363.35	0.43400	0.84000
363.05	0.44500	0.84700
361.95	0.46500	0.85300
361.85	0.48000	0.85800
360.05	0.58300	0.87800
359.45	0.63500	0.88800
358.35	0.72300	0.90500
357.65	0.76600	0.91500
357.25	0.81000	0.92500
356.65	0.85000	0.93500
356.05	0.88800	0.94800
355.65	0.93000	0.96200
355.45	0.95800	0.97200
354.75	1.000001.00000
Source
Di Cave S.; Mazzarotta B.: Isobaric Vapor-Liquid Equilibria for the Binary Systems Formed by Acetonitrile and Aromatic Hydrocarbons. J.Chem.Eng.Data 36 (1991) 293-297
Source
Di Cave S.; Mazzarotta B.: Isobaric Vapor-Liquid Equilibria for the Binary Systems Formed by Acetonitrile and Aromatic Hydrocarbons. J.Chem.Eng.Data 36 (1991) 293-297
