$$$Vapor-Liquid Equilibrium Data Set 123	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C3H8O	60.096	67-63-0	2-Propanol	
3	C4H8O2	88.106	141-78-6	Ethyl acetate	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	
347.25	0.20000	0.20000	0.22630	0.18650	
348.15	0.20000	0.40000	0.19690	0.33660	
350.85	0.20000	0.60000	0.18870	0.51300	
346.95	0.40000	0.20000	0.38870	0.15120	
349.55	0.40000	0.40000	0.38210	0.32190	
348.65	0.60000	0.20000	0.56560	0.14510	
Source	
Nishi Y.: Vapor-Liquid Equilibria Accompanied by Hypothetical Chemical Reaction. J.Chem.Eng.Japan 5 (1972) 334-339	
Source	
