$$$Density Data Set 27465
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C8H10	106.167	108-38-3	m-Xylene
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.8598	0.00000
0.8506	0.04310
0.8423	0.08250
0.8266	0.15720
0.8157	0.20930
0.8056	0.25750
0.7968	0.29970
0.7850	0.35630
0.7702	0.42780
0.7589	0.48300
0.7520	0.51670
0.7383	0.58330
0.7290	0.62940
0.7193	0.67690
0.7082	0.73180
0.6981	0.78170
0.6879	0.83290
0.6762	0.89140
0.6657	0.94460
0.6547	1.00000
Source
Dominguez-Perez M.; Segade L.; Cabeza O.; Franjo C.; Jimenez E.: Densities, Surface Tensions, and Refractive Indexes of Propyl Propanoate + Hexane + m-Xylene at 298.15 K. J.Chem.Eng.Data 51 (2006) 294-300
Source
Dominguez-Perez M.; Segade L.; Cabeza O.; Franjo C.; Jimenez E.: Densities, Surface Tensions, and Refractive Indexes of Propyl Propanoate + Hexane + m-Xylene at 298.15 K. J.Chem.Eng.Data 51 (2006) 294-300
