$$$Density Data Set 45937
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H4O2	60.053	64-19-7	Acetic acid
2	C4H8O2S	120.172	126-33-0	Sulfolane
Temperature	303.160	K
Density [g/cm3]	x1 [mol/mol]
1.2623	0.00000
1.2622	0.00032
1.2622	0.00070
1.2622	0.00093
1.2621	0.00133
1.2620	0.00185
1.2620	0.00251
1.2619	0.00308
Source
Jannelli L.; Pansini M.: Thermodynamic Properties of Dilute Solutions of C2-C6 n-Alkanoic Acids of Sulfolane.. J.Chem.Eng.Data 30 (1985) 349-352
Source
Jannelli L.; Pansini M.: Thermodynamic Properties of Dilute Solutions of C2-C6 n-Alkanoic Acids of Sulfolane.. J.Chem.Eng.Data 30 (1985) 349-352
