$$$Density Data Set 56328	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	303.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.8413	0.00000	0.20000	
0.8881	0.09870	0.18030	
0.9344	0.20000	0.16000	
0.9787	0.29850	0.14030	
1.0229	0.40000	0.12000	
1.0648	0.49620	0.10080	
1.1040	0.59140	0.08170	
1.1470	0.69730	0.06060	
1.1865	0.79690	0.04060	
1.2256	0.89950	0.02010	
1.2622	1.00000	0.00000	
0.9608	0.20000	0.00000	
0.9360	0.18060	0.09670	
0.9127	0.16070	0.19610	
0.8896	0.13980	0.30080	
0.7690	0.00000	1.00000	
0.8682	0.00000	0.00000	
0.8849	0.05000	0.04870	
0.8993	0.09790	0.10030	
0.9156	0.15190	0.15110	
0.9327	0.20980	0.19960	
0.9485	0.26570	0.24660	
Source	
Karvo M.; Nissema A.: Part IV. Excess Molar Volumes of Sulfolane + Cyclohexane + Benzene/Toluene Systems. Finn.Chem.Lett.  (1979) 132-135	
$$$Density Data Set 56329	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	313.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.8310	0.00000	0.20000	
0.8780	0.09870	0.18030	
0.9244	0.20000	0.16000	
0.9689	0.29850	0.14030	
1.0133	0.40000	0.12000	
1.0554	0.49620	0.10080	
1.0946	0.59140	0.08170	
1.1378	0.69730	0.06060	
1.1774	0.79690	0.04060	
1.2167	0.89950	0.02010	
1.2534	1.00000	0.00000	
0.9506	0.20000	0.00000	
0.9257	0.18060	0.09670	
0.9027	0.16070	0.19610	
0.8794	0.13980	0.30080	
0.7595	0.00000	1.00000	
0.8576	0.00000	0.00000	
0.8744	0.05000	0.04870	
0.8889	0.09790	0.10030	
0.9054	0.15190	0.15110	
0.9226	0.20980	0.19960	
0.9387	0.26570	0.24660	
Source	
Karvo M.; Nissema A.: Part IV. Excess Molar Volumes of Sulfolane + Cyclohexane + Benzene/Toluene Systems. Finn.Chem.Lett.  (1979) 132-135	
$$$Density Data Set 56330	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	323.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.8205	0.00000	0.20000	
0.8679	0.09870	0.18030	
0.9144	0.20000	0.16000	
0.9591	0.29850	0.14030	
1.0037	0.40000	0.12000	
1.0459	0.49620	0.10080	
1.0853	0.59140	0.08170	
1.1286	0.69730	0.06060	
1.1683	0.79690	0.04060	
1.2078	0.89950	0.02010	
1.2447	1.00000	0.00000	
0.9404	0.20000	0.00000	
0.9156	0.18060	0.09670	
0.8926	0.16070	0.19610	
0.8695	0.13980	0.30080	
0.7501	0.00000	1.00000	
0.8468	0.00000	0.00000	
0.8640	0.05000	0.04870	
0.8786	0.09790	0.10030	
0.8953	0.15190	0.15110	
0.9128	0.20980	0.19960	
0.9193	0.26570	0.24660	
Source	
Karvo M.; Nissema A.: Part IV. Excess Molar Volumes of Sulfolane + Cyclohexane + Benzene/Toluene Systems. Finn.Chem.Lett.  (1979) 132-135	
Source	
Karvo M.; Nissema A.: Part IV. Excess Molar Volumes of Sulfolane + Cyclohexane + Benzene/Toluene Systems. Finn.Chem.Lett.  (1979) 132-135	
