$$$Density Data Set 49315	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H14	86.177	110-54-3	Acetic acid butyl ester	
2	C6H14	86.177	110-54-3	Hexane	
Temperature	298.150	K	
Pressure	1.0132	bar	
Density [g/cm3]	x1 [mol/mol]	
0.6548	0.00000	
0.6650	0.05210	
0.6847	0.14910	
0.7057	0.24860	
0.7282	0.35170	
0.7495	0.44820	
0.7596	0.49320	
0.7727	0.55150	
0.7945	0.64830	
0.8172	0.74860	
0.8403	0.84910	
0.8632	0.94610	
Source	
Sastry N.V.; Thakor R.R.; Patel M.C.: Excess molar volumes, viscosity deviations, excess isentropic compressibilities and deviations in relative permittivities of (alkyl acetates (methyl, ethyl, butyl and isoamyl) + n-hexane, + benzene, + toluene, + (o-, m-, p-) xylenes, + (chloro-, bromo-, nitro-) benzene at temperatures from 298.15 to 313.15 K. J.Mol.Liq. 144 (2009) 13-22	
Source	
Sastry N.V.; Thakor R.R.; Patel M.C.: Excess molar volumes, viscosity deviations, excess isentropic compressibilities and deviations in relative permittivities of (alkyl acetates (methyl, ethyl, butyl and isoamyl) + n-hexane, + benzene, + toluene, + (o-, m-, p-) xylenes, + (chloro-, bromo-, nitro-) benzene at temperatures from 298.15 to 313.15 K. J.Mol.Liq. 144 (2009) 13-22	
