$$$Density Data Set 33118	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.8464	0.08800	
0.9221	0.19100	
0.9981	0.30000	
1.0631	0.39000	
1.1381	0.49900	
1.1405	0.50300	
1.2115	0.60800	
1.2604	0.68100	
1.2729	0.69800	
1.3197	0.76800	
1.3435	0.80300	
1.4044	0.89200	
1.4104	0.90100	
Source	
Nagata I.: Isobaric Vapor-Liquid Equilibrium Data for Binary Systems. Can.J.Chem.Eng. 41 (1963) 21-23	
Source	
Nagata I.: Isobaric Vapor-Liquid Equilibrium Data for Binary Systems. Can.J.Chem.Eng. 41 (1963) 21-23	
