$$$Density Data Set 37318	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C6H14	86.177	110-54-3	Hexane	
Temperature	293.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.6738	0.12500	0.12500	
0.6851	0.25000	0.12500	
0.6972	0.37500	0.12500	
0.7148	0.50000	0.12500	
0.7343	0.62500	0.12500	
0.7598	0.75000	0.12500	
0.6847	0.12500	0.25000	
0.6973	0.25000	0.25000	
0.7142	0.37500	0.25000	
0.7340	0.50000	0.25000	
0.7606	0.62500	0.25000	
0.6967	0.12500	0.37500	
0.7139	0.25000	0.37500	
0.7339	0.37500	0.37500	
0.7579	0.50000	0.37500	
0.7130	0.12500	0.50000	
0.7328	0.25000	0.50000	
0.7582	0.37500	0.50000	
0.7321	0.12500	0.50000	
0.7579	0.25000	0.50000	
0.7577	0.12500	0.75000	
Source	
Vinichenko I.G.; Susarev M.P.: Investigation and Calculation of Liquid-Vapor Equilibrium in the System acetone-Ethanol-n-Hexane. J.Appl.Chem.USSR 39 (1966) 1475-1478	
Source	
Vinichenko I.G.; Susarev M.P.: Investigation and Calculation of Liquid-Vapor Equilibrium in the System acetone-Ethanol-n-Hexane. J.Appl.Chem.USSR 39 (1966) 1475-1478	
