$$$Density Data Set 44511	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
2	ClNa	58.442	7647-14-5	Sodium chloride	
3	H2O	18.015	7732-18-5	Water	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
1.1983	0.09434	0.00000	
1.1899	0.08949	0.030997	
1.1829	0.08420	0.06728	
1.1758	0.07998	0.10709	
1.1711	0.07749	0.15645	
1.1660	0.07366	0.21907	
1.1613	0.06949	0.29497	
1.1577	0.06734	0.39029	
1.1545	0.06260	0.51964	
1.1524	0.06226	0.66818	
1.1505	0.06324	0.93676	
Source	
Zhou Y.; Li S.; Zhai Q.; Jiang Y.; Hu M.: Compositions, Densities, and Refractive Indices for the Ternary Systems Ethylene Glycol + NaCl + H2O, Ethylene Glycol + KCl + H2O, Ethylene Glycol + RbCl + H2O, and Ethylene Glycol + CsCl + H2O at 298.15 K. J.Chem.Eng.Data 55 (2010) 1289-1294	
$$$Density Data Set 44515	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
2	ClNa	58.442	7647-14-5	Sodium chloride	
3	H2O	18.015	7732-18-5	Water	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
1.3457	0.03107	0.00782	
1.3498	0.03076	0.016385	
1.3531	0.030536	0.023056	
1.3562	0.030637	0.03060	
1.3597	0.030204	0.037865	
1.3630	0.030185	0.04513	
1.3657	0.02967	0.05239	
1.3694	0.03065	0.05936	
1.3717	0.02926	0.06637	
1.3745	0.02961	0.07310	
1.3645	0.10982	0.00781	
1.3674	0.10927	0.014791	
1.3704	0.10857	0.02281	
1.3730	0.10745	0.029193	
1.3757	0.10680	0.03621	
1.3781	0.10579	0.04357	
1.3797	0.10529	0.04921	
1.3822	0.10441	0.05598	
1.3839	0.10388	0.06249	
1.3863	0.10326	0.07221	
1.3843	0.22305	0.007221	
1.3860	0.22207	0.014225	
1.3875	0.21978	0.021104	
1.3898	0.21857	0.02822	
1.3917	0.21841	0.03411	
1.3931	0.21601	0.041535	
1.3954	0.21426	0.04836	
1.3986	0.21093	0.06137	
1.3971	0.21360	0.05477	
1.4000	0.21011	0.06767	
1.4027	0.40065	0.006826	
1.4039	0.39806	0.013715	
1.4052	0.39266	0.02028	
1.4067	0.39250	0.02703	
1.4078	0.39004	0.033524	
1.4091	0.38795	0.04029	
1.4102	0.38389	0.04562	
1.4114	0.37958	0.05234	
1.4128	0.37999	0.05890	
1.4132	0.37478	0.06429	
1.4221	0.71413	0.007153	
1.4229	0.71219	0.013414	
1.4236	0.70759	0.020366	
1.4247	0.70143	0.02730	
1.4248	0.68971	0.033106	
1.4255	0.68855	0.03948	
1.4267	0.68905	0.04652	
1.4271	0.68268	0.05276	
1.4280	0.67951	0.05782	
1.4289	0.67623	0.06416	
Source	
