$$$Density Data Set 1803
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C2H6O	46.069	64-17-5	Ethanol
Temperature	293.150	K
Density [g/cm3]	x1 [mol/mol]
0.7894	0.00000
0.7913	0.04000
0.7922	0.10000
0.7916	0.17000
0.7901	0.28000
0.7901	0.33000
0.7889	0.43000
0.7876	0.55000
0.7859	0.67000
0.7845	0.83000
0.7829	1.00000
Source
Vierk A.-L.: Wasser-Acetonitril, Wasser-Dioxan, Äthanol-Acetonitril und Cyclohexan-Dioxan. Z.Anorg.Allg.Chem. 261 (1950) 283-296
Source
Vierk A.-L.: Wasser-Acetonitril, Wasser-Dioxan, Äthanol-Acetonitril und Cyclohexan-Dioxan. Z.Anorg.Allg.Chem. 261 (1950) 283-296
