$$$Density Data Set 55690
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O2	62.068	107-21-1	1,2-Ethanediol
2	C3H6O	58.080	67-64-1	Acetone
3	C6H6	78.114	71-43-2	Benzene
Temperature	303.150	K
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]
0.9762	0.50000	0.00000
0.8426	0.40000	0.10000
0.8365	0.30000	0.20000
0.8234	0.20000	0.30000
0.8218	0.10000	0.40000
0.8205	0.00000	0.50000
Source
Palani R.; Meenakshi K.: Investigation of molecular interactions in ternary liquid mixtures using ultrasonic velocity. Indian J.Chem.Sect.A 46 (2007) 252-257
Source
Palani R.; Meenakshi K.: Investigation of molecular interactions in ternary liquid mixtures using ultrasonic velocity. Indian J.Chem.Sect.A 46 (2007) 252-257
