$$$Density Data Set 18683
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	110-82-7	Cyclohexane
2	C8H10	106.167	108-38-3	m-Xylene
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.8598	0.00000
0.8509	0.09760
0.8421	0.19510
0.8327	0.29970
0.8276	0.35660
0.8242	0.39460
0.8196	0.44600
0.8148	0.49990
0.8103	0.55070
0.8025	0.63980
0.7977	0.69560
0.7895	0.79350
0.7855	0.84320
0.7780	0.94090
Source
Diaz C.; Orge B.; Marino G.; Tojo J.: Densities, refractive indices, and derived properties of (cyclohexane, or n-heptane + an aromatic hydrocarbon) at T = 298.15 K. J.Chem.Thermodyn. 33 (2001) 1015-1029
Source
Diaz C.; Orge B.; Marino G.; Tojo J.: Densities, refractive indices, and derived properties of (cyclohexane, or n-heptane + an aromatic hydrocarbon) at T = 298.15 K. J.Chem.Thermodyn. 33 (2001) 1015-1029
