$$$Density Data Set 32729
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O	72.107	109-99-9	Tetrahydrofuran
2	C2H6O	46.069	64-17-5	Ethanol
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.7921	0.05320
0.7981	0.09890
0.8107	0.20180
0.8225	0.30840
0.8320	0.40000
0.8418	0.50150
0.8513	0.60740
0.8600	0.71100
0.8679	0.81040
0.8750	0.90480
0.8778	0.94260
Source
Chavez H.; Pineiro A.; Brocos P.: Thermodynamics of Mixing Tetrahydrofuran with 1-Alkanols and Excess Enthalpies of Homomorphy-Related Systems. J.Chem.Eng.Data 52 (2007) 2298-2305
Source
Chavez H.; Pineiro A.; Brocos P.: Thermodynamics of Mixing Tetrahydrofuran with 1-Alkanols and Excess Enthalpies of Homomorphy-Related Systems. J.Chem.Eng.Data 52 (2007) 2298-2305
