$$$Density Data Set 23992
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	71-36-3	1-Butanol
2	C4H10O	74.123	60-29-7	Diethyl ether
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.7083	0.00000
0.7309	0.20000
0.7514	0.40000
0.7613	0.50000
0.7708	0.60000
0.7893	0.80000
0.8063	1.00000
Source
Lutskii A.E.; Obukhova E.M.: III. Mixtures of Isoperiodic Compounds. Zh.Obshch.Khim. 31 (1961) 2692-2702
Source
Lutskii A.E.; Obukhova E.M.: III. Mixtures of Isoperiodic Compounds. Zh.Obshch.Khim. 31 (1961) 2692-2702
