$$$Density Data Set 5054	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C6H14	86.177	110-54-3	Hexane	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.6562	0.00000	
0.7127	0.11012	
0.8404	0.31099	
0.9198	0.43222	
1.0103	0.55055	
1.0358	0.58820	
1.1308	0.69752	
1.2038	0.77031	
1.3068	0.86160	
1.4718	1.00000	
Source	
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335	
Source	
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335	
