$$$Density Data Set 28750	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	H2O	18.015	7732-18-5	Water	
3	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Temperature	283.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
1.0684	0.14070	0.10700	
1.0500	0.16380	0.23140	
0.9794	0.10290	0.86710	
0.9407	0.42760	0.28410	
0.8887	0.45460	0.49890	
0.9694	0.21510	0.65600	
0.9646	0.17320	0.77260	
1.0180	0.05550	0.84520	
1.0134	0.03180	0.90800	
1.0037	0.01850	0.95710	
0.9089	0.50880	0.28230	
0.8371	0.78760	0.14890	
1.0146	0.17550	0.52020	
1.0342	0.16550	0.41410	
1.0722	0.06860	0.47890	
0.9979	0.03680	0.93890	
0.9360	0.27910	0.65420	
0.9974	0.08670	0.84520	
0.9043	0.37750	0.58150	
0.9338	0.28590	0.64840	
0.9361	0.27560	0.66010	
1.0263	0.22950	0.21790	
Source	
Bae H.-K.; Song H.-C.: Excess Molar Volume of Acetone, Water and Ethylene Glycol Mixture. Korean J.Chem.Eng. 15 (1998) 615-618	
$$$Density Data Set 28751	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	H2O	18.015	7732-18-5	Water	
3	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Temperature	293.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.9671	0.20800	0.66400	
1.0022	0.03060	0.91100	
1.0007	0.07500	0.82700	
1.0169	0.16070	0.50100	
1.0819	0.07700	0.16020	
1.0497	0.12310	0.34320	
1.0279	0.15370	0.43270	
1.0004	0.01940	0.95160	
0.8915	0.52700	0.26380	
1.0756	0.09550	0.16370	
0.9347	0.40500	0.31540	
0.9713	0.20420	0.65570	
0.9561	0.17790	0.76370	
0.8759	0.46930	0.48170	
0.9931	0.29650	0.23820	
0.8319	0.73860	0.16710	
0.9305	0.27100	0.66550	
0.9924	0.08240	0.84420	
0.8945	0.38710	0.56250	
0.9301	0.26830	0.66890	
0.9385	0.25320	0.67850	
Source	
Bae H.-K.; Song H.-C.: Excess Molar Volume of Acetone, Water and Ethylene Glycol Mixture. Korean J.Chem.Eng. 15 (1998) 615-618	
Source	
Bae H.-K.; Song H.-C.: Excess Molar Volume of Acetone, Water and Ethylene Glycol Mixture. Korean J.Chem.Eng. 15 (1998) 615-618	
