$$$Density Data Set 50623	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C2H6O	46.069	64-17-5	Ethanol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.7838	0.00000	0.20000	
0.8010	0.20000	0.20000	
0.8184	0.40000	0.20000	
0.8356	0.60000	0.20000	
0.8408	0.66000	0.20000	
0.8524	0.80000	0.20000	
Source	
Chaturvedi C.V.; Prakash S.: Ultrasonic Study of Free Volume in Ternary Mixtures of Liquids. Acustica 27 (1972) 248-251	
Source	
Chaturvedi C.V.; Prakash S.: Ultrasonic Study of Free Volume in Ternary Mixtures of Liquids. Acustica 27 (1972) 248-251	
