$$$Density Data Set 46264
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C2H6O	46.069	64-17-5	Ethanol
3	H2O	18.015	7732-18-5	Water
Temperature	293.150	K
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]
0.9982	0.000000.00000
0.9640	0.00000	0.10565
0.9490	0.000260887987679	0.15861
0.9382	0.000546398980077	0.19573
0.9263	0.000859472958837	0.23580
0.9085	0.001845	0.29797
0.8924	0.006837	0.39137
0.8286	0.03494	0.58186
0.7521	0.010692	0.42669
0.6595	1.00000	0.00000
0.6595	0.99440	0.005597
0.6595	0.99069	0.009313
0.9599	0.98883	0.011165
0.9901	0.98514	0.01486
0.6600	0.97778	0.022215
0.6610	0.96323	0.03677
0.6635	0.88919	0.10628
0.6787	0.75772	0.21705
Source
Ross S.; Patterson R.E.: Surface and Interfacial Tensions of Conjugate Solutions in Ternary Systems. J.Chem.Eng.Data 24 (1979) 111-115
Source
Ross S.; Patterson R.E.: Surface and Interfacial Tensions of Conjugate Solutions in Ternary Systems. J.Chem.Eng.Data 24 (1979) 111-115
