$$$Density Data Set 23959
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C8H10	106.167	106-42-3	Acetic acid butyl ester
2	C8H10	106.167	106-42-3	p-Xylene
Temperature	293.150	K
Density [g/cm3]	x1 [mol/mol]
0.8608	0.00000
0.8621	0.04940
0.8634	0.10140
0.8645	0.14940
0.8657	0.20120
0.8668	0.24800
0.8681	0.30770
0.8691	0.35190
0.8702	0.40400
0.8712	0.45190
0.8721	0.49990
0.8731	0.55050
0.8741	0.59910
0.8751	0.65180
0.8759	0.69930
0.8768	0.74900
0.8777	0.79900
0.8786	0.85190
0.8794	0.89790
0.8803	0.94890
0.8812	1.00000
Source
Resa J.M.; Gonzalez C.; Concha R.G.; Iglesias M.: Influence of Temperature on Excess Molar Volumes for Butyl Acetate + Aromatic Hydrocarbons. Phys.Chem.Liq. 42 (2004) 493-520
Source
Resa J.M.; Gonzalez C.; Concha R.G.; Iglesias M.: Influence of Temperature on Excess Molar Volumes for Butyl Acetate + Aromatic Hydrocarbons. Phys.Chem.Liq. 42 (2004) 493-520
