$$$Density Data Set 5036
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C2H6O	46.069	64-17-5	Ethanol
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.7852	0.00000
0.7856	0.09444
0.7857	0.16793
0.7856	0.28951
0.7858	0.34717
0.7855	0.44782
0.7855	0.48564
0.7852	0.65812
0.7849	0.77125
0.7844	1.00000
Source
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335
Source
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335
