$$$Density Data Set 50625	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	CH4O	32.042	67-56-1	Methanol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.7801	0.00000	0.16000	
0.7956	0.16000	0.16000	
0.8036	0.34000	0.16000	
0.8086	0.50000	0.16000	
0.8317	0.68000	0.16000	
0.8616	0.84000	0.00000	
Source	
Chaturvedi C.V.; Prakash S.: Ultrasonic Study of Free Volume in Ternary Mixtures of Liquids. Acustica 27 (1972) 248-251	
Source	
Chaturvedi C.V.; Prakash S.: Ultrasonic Study of Free Volume in Ternary Mixtures of Liquids. Acustica 27 (1972) 248-251	
