$$$Density Data Set 29715
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C10H8	128.174	91-20-3	Naphthalene
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.6796	1.00000
0.6809	0.99800
0.6849	0.98700
0.6861	0.98400
0.6885	0.97700
0.6899	0.97200
0.6920	0.96400
Source
Williams J.W.; Ogg E.F.: V. The Electric Moments of Certain Organic Molecules in Carbon Disulfide and Hexane Solutions.. J.Am.Chem.Soc. 50 (1928) 94-101
Source
Williams J.W.; Ogg E.F.: V. The Electric Moments of Certain Organic Molecules in Carbon Disulfide and Hexane Solutions.. J.Am.Chem.Soc. 50 (1928) 94-101
