$$$Density Data Set 25004	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C2H6O	46.069	64-17-5	Acetic acid butyl ester	
Temperature	293.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.8810	0.00000	
0.8729	0.08730	
0.8630	0.19460	
0.8522	0.29920	
0.8460	0.38770	
0.8364	0.48090	
0.8291	0.58780	
0.8155	0.69220	
0.8056	0.79460	
0.7995	0.88650	
0.7882	1.00000	
Source	
Djojoputro H.; Ismadji S.: Density and Viscosity for a Binary Mixture of cis-3-Hexenyl Formate, Butyl Acetate, trans-2-Hexenyl Acetate, and cis-3-Hexenyl Acetate with Ethanol at Several Temperatures. J.Chem.Eng.Data 50 (2005) 1009-1013	
Source	
Djojoputro H.; Ismadji S.: Density and Viscosity for a Binary Mixture of cis-3-Hexenyl Formate, Butyl Acetate, trans-2-Hexenyl Acetate, and cis-3-Hexenyl Acetate with Ethanol at Several Temperatures. J.Chem.Eng.Data 50 (2005) 1009-1013	
