$$$Density Data Set 37088	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H4O2	60.053	64-19-7	Acetic acid	
2	C4H10O	74.123	71-36-3	1-Butanol	
Temperature	298.150	K	
Pressure	0.815	bar	
Density [g/cm3]	x1 [mol/mol]	
0.8058	0.00000	
0.8177	0.07780	
0.8297	0.15020	
0.8451	0.23800	
0.8595	0.31430	
0.8789	0.39460	
0.8956	0.47390	
0.9140	0.56680	
0.9349	0.65020	
0.9552	0.72560	
0.9644	0.75790	
1.0016	0.87910	
1.0242	0.94600	
1.0438	1.00000	
Source	
Zarei H.A.: Densities, excess molar volumes and partial molar volumes of the binary mixtures of acetic acid + alkanol (C1-C4) at 298.15 K. J.Mol.Liq. 130 (2007) 74-78	
Source	
Zarei H.A.: Densities, excess molar volumes and partial molar volumes of the binary mixtures of acetic acid + alkanol (C1-C4) at 298.15 K. J.Mol.Liq. 130 (2007) 74-78	
