$$$Density Data Set 50624	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H6	78.114	71-43-2	Benzene	
2	C6H12	84.161	110-82-7	Cyclohexane	
3	C4H10O	74.123	71-36-3	1-Butanol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.7954	0.00000	0.20000	
0.8053	0.16000	0.20000	
0.7965	0.16000	0.36000	
0.7954	0.16000	0.50000	
0.7943	0.16000	0.68000	
0.8086	0.32000	0.68000	
Source	
Chaturvedi C.V.; Prakash S.: Ultrasonic Study of Free Volume in Ternary Mixtures of Liquids. Acustica 27 (1972) 248-251	
Source	
Chaturvedi C.V.; Prakash S.: Ultrasonic Study of Free Volume in Ternary Mixtures of Liquids. Acustica 27 (1972) 248-251	
