$$$Density Data Set 19307	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C3H6O	58.080	67-64-1	Acetone	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.7937	0.06150	
0.8004	0.10980	
0.8066	0.15600	
0.8136	0.20990	
0.8199	0.26000	
0.8245	0.29770	
0.8307	0.34980	
0.8366	0.40110	
0.8420	0.44950	
0.8475	0.50030	
0.8522	0.54490	
0.8575	0.59670	
0.8612	0.63390	
0.8666	0.68930	
0.8714	0.73980	
0.8750	0.77850	
0.8797	0.83010	
0.8867	0.90920	
0.8893	0.93930	
Source	
Acosta J.; Arce A.; Rodil E.; Soto A.: Densities, Speeds of Sound, Refractive Indices, and the Corresponding changes of Mixing at 25 °C and Atmospheric Pressure for Systems Composed by Ethyl Acetate, Hexane, and Acetone. J.Chem.Eng.Data 46 (2001) 1176-1180	
Source	
Acosta J.; Arce A.; Rodil E.; Soto A.: Densities, Speeds of Sound, Refractive Indices, and the Corresponding changes of Mixing at 25 °C and Atmospheric Pressure for Systems Composed by Ethyl Acetate, Hexane, and Acetone. J.Chem.Eng.Data 46 (2001) 1176-1180	
