$$$Density Data Set 54581
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C6H14	86.177	110-54-3	Hexane
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.6627	0.00000
0.6628	0.004588
0.6628	0.006923
0.6630	0.016228
0.6632	0.02533
0.6633	0.027085
0.6634	0.03283
0.6636	0.03800
0.6637	0.04359
Source
Smith J.W.; Witten L.B.: The molecular polarizations and apparent dipole moments of tert-butyl chloride and methyl cyanide in various solvents and solvent mixtures.. Trans.Faraday Soc. 47 (1951) 1304-1318
Source
Smith J.W.; Witten L.B.: The molecular polarizations and apparent dipole moments of tert-butyl chloride and methyl cyanide in various solvents and solvent mixtures.. Trans.Faraday Soc. 47 (1951) 1304-1318
