$$$Density Data Set 40261	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H10O	74.123	60-29-7	Diethyl ether	
2	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	293.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.7784	0.00000	
0.7751	0.04720	
0.7720	0.08854	
0.7691	0.12325	
0.7664	0.17310	
0.7631	0.21749	
0.7475	0.50429	
0.7314	0.74972	
0.7135	1.00000	
Source	
Earp D.P.; Glasstone S.: Dielectric Polarisation and Molecular-Compound Formation in Solution. Parts I and II.. J.Chem.Soc.London  (1935) 1709-1723	
Source	
Earp D.P.; Glasstone S.: Dielectric Polarisation and Molecular-Compound Formation in Solution. Parts I and II.. J.Chem.Soc.London  (1935) 1709-1723	
