$$$Density Data Set 1802
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	H2O	18.015	7732-18-5	Water
Temperature	293.150	K
Density [g/cm3]	x1 [mol/mol]
0.9982	0.00000
0.9888	0.03000
0.9769	0.06000
0.9733	0.08000
0.9669	0.09000
0.9567	0.12000
0.9402	0.17000
0.9240	0.22000
0.9213	0.23000
0.9128	0.25000
0.9026	0.29000
0.8956	0.31000
0.8641	0.45000
0.8170	0.70000
0.7943	0.87000
0.7829	1.00000
Source
Vierk A.-L.: Wasser-Acetonitril, Wasser-Dioxan, Äthanol-Acetonitril und Cyclohexan-Dioxan. Z.Anorg.Allg.Chem. 261 (1950) 283-296
Source
Vierk A.-L.: Wasser-Acetonitril, Wasser-Dioxan, Äthanol-Acetonitril und Cyclohexan-Dioxan. Z.Anorg.Allg.Chem. 261 (1950) 283-296
