$$$Density Data Set 61555	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	298.150	K	
Pressure	1.0132	bar	
Density [g/cm3]	x1 [mol/mol]	
1.0107	0.15930	
0.9972	0.26480	
0.9852	0.35870	
0.9667	0.50330	
0.9539	0.60280	
0.9346	0.75390	
0.9218	0.85380	
Source	
Peng S.-J.; Hou H.-Y.; Zhou C.-S.; Yang T.: [(Styrene + Ethyl Acetate or Benzene) + ( N -Methyl-2-pyrrolidone + Ethyl Acetate or Benzene)]. J.Solution Chem. 36 (2007) 981-995	
Source	
Peng S.-J.; Hou H.-Y.; Zhou C.-S.; Yang T.: [(Styrene + Ethyl Acetate or Benzene) + ( N -Methyl-2-pyrrolidone + Ethyl Acetate or Benzene)]. J.Solution Chem. 36 (2007) 981-995	
