$$$Density Data Set 29522	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	C8H10	106.167	106-42-3	p-Xylene	
Temperature	278.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.8742	0.00000	
0.8763	0.08400	
0.8785	0.17160	
0.8801	0.23220	
0.8817	0.29340	
0.8833	0.35480	
0.8853	0.42840	
0.8870	0.48960	
0.8888	0.55180	
0.8908	0.62010	
0.8925	0.68250	
0.8943	0.74140	
0.8962	0.81020	
0.8982	0.87560	
0.9001	0.94090	
0.9019	1.00000	
Source	
Nain A.K.: Densities and Volumetric Properties of Binary Mixtures of Tetrahydrofuran with Some Aromatic Hydrocarbons at Temperatures from 278.15 to 318.15 K. J.Solution Chem. 35 (2006) 1417-1439	
Source	
Nain A.K.: Densities and Volumetric Properties of Binary Mixtures of Tetrahydrofuran with Some Aromatic Hydrocarbons at Temperatures from 278.15 to 318.15 K. J.Solution Chem. 35 (2006) 1417-1439	
