$$$Density Data Set 25811
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C2H4O2	60.053	64-19-7	Acetic acid
Temperature	293.150	K
Density [g/cm3]	x1 [mol/mol]
1.0493	0.00000
1.0438	0.04450
1.0202	0.20310
1.0019	0.30020
0.9807	0.40040
0.9564	0.50080
0.9300	0.59900
0.8998	0.70050
0.8676	0.79840
0.8314	0.89940
0.8119	0.95020
0.7919	1.00000
Source
Gonzalez B.; Dominguez A.; Tojo J.: Dynamic Viscosities, Densities, and Speed of Sound and Derived Properties of the Binary Systems Acetic Acid with Water, Methanol, Ethanol, Ethyl Acetate and Methyl Acetate at T = (293.15, 298.15, and 303.15) K at Atmospheric Pressure. J.Chem.Eng.Data 49 (2004) 1590-1596
Source
Gonzalez B.; Dominguez A.; Tojo J.: Dynamic Viscosities, Densities, and Speed of Sound and Derived Properties of the Binary Systems Acetic Acid with Water, Methanol, Ethanol, Ethyl Acetate and Methyl Acetate at T = (293.15, 298.15, and 303.15) K at Atmospheric Pressure. J.Chem.Eng.Data 49 (2004) 1590-1596
