$$$Density Data Set 31812	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	CH4O	32.042	67-56-1	Methanol	
3	C4H8O2	88.106	141-78-6	Ethyl acetate	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
1.4357	0.88200	0.11800	
1.3864	0.76100	0.23900	
1.3398	0.66200	0.33800	
1.3114	0.60600	0.39400	
1.2606	0.51800	0.48200	
1.1940	0.41300	0.58700	
1.1424	0.34200	0.65800	
1.0705	0.25500	0.74500	
1.0376	0.21800	0.78200	
0.9716	0.15400	0.84600	
0.9010	0.09000	0.91000	
1.2663	0.62400	0.16700	
1.2286	0.53400	0.28700	
1.1936	0.46300	0.38200	
1.1555	0.39500	0.47300	
1.1018	0.31100	0.58500	
1.0585	0.25200	0.66400	
1.0044	0.18800	0.74900	
0.9757	0.16000	0.78700	
0.9148	0.10000	0.86700	
0.8585	0.05200	0.93000	
1.1080	0.40900	0.02500	
1.0960	0.37500	0.10600	
1.0786	0.33400	0.20400	
1.0613	0.29700	0.29200	
1.0352	0.24700	0.41100	
1.0002	0.19200	0.54400	
0.9768	0.16100	0.61700	
0.9320	0.11200	0.73300	
0.8532	0.04400	0.89600	
1.2404	0.61900	0.07000	
1.2302	0.59000	0.11300	
1.1854	0.48100	0.27600	
1.1604	0.42800	0.35600	
1.1123	0.34000	0.48800	
1.0491	0.24600	0.63000	
0.9417	0.12400	0.81300	
0.9201	0.10400	0.84300	
0.8827	0.07100	0.89300	
1.0672	0.33000	0.08100	
1.0502	0.28900	0.19500	
1.0401	0.26700	0.25700	
1.0026	0.19900	0.44600	
1.0011	0.19600	0.45400	
0.9641	0.14500	0.59700	
0.9115	0.08800	0.75500	
0.8484	0.03800	0.89600	
1.3481	0.72800	0.20800	
1.3235	0.66800	0.27300	
1.2759	0.57000	0.38000	
1.2233	0.47500	0.48300	
1.1757	0.39900	0.56600	
1.1023	0.30200	0.67100	
0.9306	0.11400	0.87600	
1.1956	0.54800	0.06400	
1.1922	0.53800	0.08200	
1.1743	0.49100	0.16200	
1.1447	0.42200	0.28000	
1.0986	0.32900	0.43500	
1.0799	0.29900	0.49000	
1.0224	0.21500	0.64000	
0.9985	0.18500	0.68400	
0.9704	0.15300	0.73800	
0.9370	0.11800	0.79800	
1.0028	0.21300	0.09000	
0.9944	0.19600	0.16500	
0.9885	0.18400	0.21500	
0.9854	0.17800	0.23800	
0.9710	0.15400	0.34500	
0.9594	0.13600	0.41900	
0.9408	0.11200	0.52100	
0.9303	0.10000	0.57300	
0.8944	0.06500	0.72100	
0.8872	0.05900	0.74700	
1.3598	0.76400	0.15400	
1.3013	0.62800	0.30400	
1.2518	0.53300	0.41000	
1.1697	0.39300	0.56500	
1.1039	0.30200	0.66500	
0.9867	0.16900	0.81200	
0.9145	0.10100	0.88800	
1.1476	0.47100	0.05200	
1.1405	0.45200	0.09100	
1.1240	0.40800	0.17800	
1.0841	0.32400	0.35500	
1.0670	0.28900	0.41900	
1.0188	0.21400	0.56900	
1.0058	0.19600	0.60500	
0.9570	0.13800	0.72300	
0.9447	0.12500	0.74900	
0.8547	0.04800	0.90400	
0.9630	0.14100	0.08600	
0.9576	0.13200	0.15000	
0.9394	0.10300	0.33100	
0.9191	0.08000	0.48400	
0.9023	0.06400	0.58500	
0.8967	0.05900	0.61700	
0.8737	0.04200	0.72800	
0.8416	0.02300	0.84700	
0.8286	0.01700	0.89100	
0.7867	0.00000	1.00000	
1.4802	1.00000	0.00000	
0.8946	0.00000	0.00000	
Source	
Nagata I.: Isobaric Vapor-Liquid Equilibria for the Ternary System Chloroform-Methanol-Ethyl Acetate. J.Chem.Eng.Data 7 (1962) 367-373	
Source	
Nagata I.: Isobaric Vapor-Liquid Equilibria for the Ternary System Chloroform-Methanol-Ethyl Acetate. J.Chem.Eng.Data 7 (1962) 367-373	
