$$$Density Data Set 18684	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	110-82-7	Cyclohexane	
2	C8H10	106.167	106-42-3	p-Xylene	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.8565	0.00000	
0.8493	0.08420	
0.8445	0.14040	
0.8358	0.24130	
0.8267	0.34700	
0.8183	0.44450	
0.8140	0.49480	
0.8101	0.54010	
0.8060	0.58890	
0.8015	0.64340	
0.7935	0.74080	
0.7855	0.84220	
0.7815	0.89380	
0.7779	0.94270	
Source	
Diaz C.; Orge B.; Marino G.; Tojo J.: Densities, refractive indices, and derived properties of (cyclohexane, or n-heptane + an aromatic hydrocarbon) at T = 298.15 K. J.Chem.Thermodyn. 33 (2001) 1015-1029	
Source	
Diaz C.; Orge B.; Marino G.; Tojo J.: Densities, refractive indices, and derived properties of (cyclohexane, or n-heptane + an aromatic hydrocarbon) at T = 298.15 K. J.Chem.Thermodyn. 33 (2001) 1015-1029	
