$$$Density Data Set 5043
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CH4O	32.042	67-56-1	Methanol
2	C3H8O	60.096	67-63-0	2-Propanol
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.7804	0.00000
0.7822	0.31769
0.7828	0.44929
0.7835	0.55478
0.7844	0.66756
0.7851	0.73363
0.7860	0.81988
0.7865	0.87648
0.7877	0.94575
0.7872	1.00000
Source
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335
Source
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335
