$$$Density Data Set 5042	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.7804	0.00000	
0.7795	0.21096	
0.7792	0.29977	
0.7792	0.42677	
0.7795	0.50591	
0.7799	0.59965	
0.7806	0.69646	
0.7814	0.79507	
0.7830	0.91655	
0.7844	1.00000	
Source	
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335	
Source	
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335	
