$$$Density Data Set 39634	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	ClNa	58.442	7647-14-5	Sodium chloride	
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
1.1106	0.00108322000597	
1.1117	0.00279271998443	
1.1126	0.004194	
1.1144	0.006996	
1.1230	0.020017	
1.1315	0.033505	
1.1380	0.04373	
Source	
Zana R.; Lage G.A.; Criss C.M.: IV. Ethylene Glycol. J.Solution Chem. 9 (1980) 667-682	
Source	
Zana R.; Lage G.A.; Criss C.M.: IV. Ethylene Glycol. J.Solution Chem. 9 (1980) 667-682	
