$$$Heat Capacity Data Set 3095
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone
2	CH4O	32.042	67-56-1	Methanol
Temperature	298.15	K
Pressure	1.000	bar
Heat Capacity [J/mol*K]	x1 [mol/mol]
81.1692	0.00000
98.8148	0.19930
117.0500	0.39890
127.0110	0.49910
135.6360	0.59720
153.6980	0.79640
174.8300	1.00000
Source
Davila M.J.; Trusler J.P.M.: Thermodynamic properties of mixtures of N-methyl-2-pyrrolidinone and methanol at temperatures between 298.15 K and 343.15 K and pressures up to 60 MPa. J.Chem.Thermodyn. 41 (2009) 35-45
Source
Davila M.J.; Trusler J.P.M.: Thermodynamic properties of mixtures of N-methyl-2-pyrrolidinone and methanol at temperatures between 298.15 K and 343.15 K and pressures up to 60 MPa. J.Chem.Thermodyn. 41 (2009) 35-45
