$$$Heat Capacity Data Set 2880	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H10O	74.123	60-29-7	Diethyl ether	
2	C3H6O	58.080	67-64-1	Acetone	
Temperature	293.15	K	
Heat Capacity [J/mol*K]	x1 [mol/mol]	
127.3360	0.00000	
129.7540	0.20000	
137.6260	0.40000	
141.6020	0.50000	
147.0220	0.60000	
156.9560	0.80000	
167.1580	1.00000	
Source	
Schulze A.: Über das Gleichgewicht in kondensierten Systemen. Z.Phys.Chem.(Leipzig) 97 (1921) 388-416	
Source	
Schulze A.: Über das Gleichgewicht in kondensierten Systemen. Z.Phys.Chem.(Leipzig) 97 (1921) 388-416	
