$$$Solid-Liquid Equilibrium Data Set 665	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4	16.043	74-82-8	Methane	
2	C6H12	84.161	110-82-7	Cyclohexane	
T [K]	P [bar]	xL1 [mol/mol]	
270.00	9.42	0.03680	
265.00	14.587	0.05590	
260.00	19.855	0.07570	
255.00	24.717	0.09600	
250.00	29.276	0.11660	
245.00	33.63	0.13710	
240.00	37.48	0.15890	
235.00	41.23	0.18170	
230.00	44.37	0.20560	
225.00	46.9	0.23070	
220.00	49.03	0.25640	
215.00	50.75	0.28310	
210.00	52.07	0.31100	
205.00	52.98	0.34560	
200.00	53.59	0.38070	
197.50	54.3	0.40020	
195.00	59.77	0.42100	
193.00	75.98	0.43780	
192.74	48.12	0.99590	
190.00	44.17	0.99482	
188.00	41.736	0.99412	
186.00	39.304	0.99371	
184.00	36.87	0.99349	
182.00	34.645	0.99339	
180.00	32.416	0.99348	
178.00	30.39	0.99365	
176.00	28.364	0.99383	
174.00	26.54	0.99409	
172.00	24.717	0.99428	
170.00	22.995	0.99460	
168.00	21.476	0.99489	
166.00	19.855	0.99517	
164.00	18.335	0.99547	
162.00	17.02	0.99580	
160.00	15.7	0.99609	
158.00	14.486	0.99642	
156.00	13.372	0.99666	
154.00	12.257	0.99690	
Source	
Kohn J.P.; Luks K.D.; Liu P.H.; Tiffin D.L.: Three-Phase Solid-Liquid-Vapor Equilibria of the Binary Hydrocarbon Systems Methane-n-Octane and Methane-Cyclohexane. J.Chem.Eng.Data 22 (1977) 419-421	
$$$Solid-Liquid Equilibrium Data Set 1089	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	110-82-7	Cyclohexane	
2	CH4	16.043	74-82-8	Methane	
T [K]	xL1 [mol/mol]	
99.70	0.000065	
101.10	0.000075	
108.00	0.000129	
109.80	0.000137	
119.80	0.000312	
129.90	0.00065	
140.00	0.00125	
149.60	0.00233	
150.00	0.00240	
Source	
Neumann A.; Mann R.: Löslichkeit von festen Kohlenwasserstoffen und Methanol in flüssigem Methan. Kältetechnik 22 (1970) 182-184	
$$$Solid-Liquid Equilibrium Data Set 1278	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	110-82-7	Cyclohexane	
2	CH4	16.043	74-82-8	Methane	
T [K]	P [bar]	xL1 [mol/mol]	
279.83	0.0539	1.00000	
270.00	9.423	0.96480	
265.00	14.59	0.94620	
260.00	19.86	0.92620	
255.00	24.825	0.90580	
250.00	29.384	0.88500	
245.00	34.25	0.86360	
240.00	38.5	0.84130	
235.00	42.35	0.81850	
230.00	45.8	0.79460	
225.00	48.64	0.77090	
220.00	51.47	0.74620	
215.00	53.6	0.72130	
210.00	55.53	0.69530	
205.00	56.84	0.66910	
200.00	58.97	0.64140	
195.00	66.87	0.60920	
193.00	78.02	0.59290	
190.00	46.41	0.00671	
187.50	43.06	0.00841	
185.00	39.82	0.00880	
182.50	36.78	0.00830	
180.00	33.944	0.00771	
175.00	28.776	0.00656	
170.00	24.32	0.00564	
165.00	20.468	0.00475	
160.00	16.92	0.00395	
155.00	13.983	0.00335	
Source	
Kohn J.P.; Luks K.D.: Solubility of Hydrocarbons in Cryogenic LNG and NGL Mixtures. GPA Research Rep.  (1976) 1-59	
