$$$Solid-Liquid Equilibrium Data Set 1977
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C10H8	128.174	91-20-3	Naphthalene
2	C4H10O	74.123	71-36-3	1-Butanol
3	H2O	18.015	7732-18-5	Water
T [K]	xL1 [mol/mol]	xL2 [mol/mol]
283.15	2.849999873E-6	0.00000
283.15	0.000003	0.002929629991
283.15	3.220000053E-6	0.006227
283.15	4.110000191E-6	0.009823
283.15	4.649999937E-6	0.012745
288.15	3.429999879E-6	0.00000
288.15	3.760000027E-6	0.002929629991
288.15	4.149999768E-6	0.006227
288.15	5.34999981E-6	0.009823
288.15	5.710000096E-6	0.012745
293.15	4.040000022E-6	0.00000
293.15	4.460000127E-6	0.002929629991
293.15	5.160000001E-6	0.006227
293.15	6.480000138E-6	0.009823
293.15	6.700000085E-6	0.012745
298.15	4.749999789E-6	0.00000
298.15	5.389999842E-6	0.002929619979
298.15	6.379999832E-6	0.006227
298.15	7.560000086E-6	0.009823
298.15	8.490000255E-6	0.012745
303.15	5.84999998E-6	0.00000
303.15	6.669999948E-6	0.002929619979
303.15	7.679999726E-6	0.006227
303.15	8.85999998E-6	0.009823
303.15	1.010000051E-5	0.012745
308.15	6.700000085E-6	0.00000
308.15	7.779999578E-6	0.002929619979
308.15	9.309999768E-6	0.006227
308.15	1.072000032E-5	0.009823
308.15	1.16199999E-5	0.012745
313.15	7.869999536E-6	0.00000
313.15	9.149999642E-6	0.002929609967
313.15	1.078999958E-5	0.006227
313.15	1.250000059E-5	0.009823
313.15	1.410000004E-5	0.012745
Source
Perez-Tejeda P.; Yanes C.; Maestre A.: Solubility of Naphthalene in Water + Alcohol Solutions at Various Temperatures. J.Chem.Eng.Data 35 (1990) 244-246
$$$Solid-Liquid Equilibrium Data Set 4007
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	71-36-3	1-Butanol
2	H2O	18.015	7732-18-5	Water
3	C10H8	128.174	91-20-3	Naphthalene
T [K]	xL1 [mol/mol]	xL2 [mol/mol]
294.91	0.77832	0.17883
302.74	0.76595	0.17595
312.72	0.74124	0.17029
322.15	0.70023	0.16088
325.85	0.67708	0.15553
328.14	0.65788	0.15116
332.59	0.60025	0.13792
336.05	0.53757	0.12352
338.58	0.47273	0.10861
342.38	0.33420	0.07677
344.95	0.22316	0.05125
346.70	0.15567	0.03580
349.28	0.07765	0.017808
303.88	0.64798	0.30571
316.65	0.62503	0.29489
324.85	0.60768	0.28668
329.89	0.56777	0.26787
334.01	0.52973	0.24992
338.08	0.46530	0.21951
340.15	0.41402	0.19535
314.94	0.54704	0.39584
321.95	0.53337	0.38593
329.58	0.50784	0.36746
Source
Mannhardt O.W.; de Right R.E.; Martin W.H.; Burmaster C.F.; Wadt W.F.: The Solubility of Naphthalene in Aqueous Solutions of Methanol, Ethanol, 1-Propanol, and 1-Butanol at Several Temperatures. J.Phys.Chem. 47 (1943) 685-701
