$$$Solid-Liquid Equilibrium Data Set 600
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C2H4O2	60.053	64-19-7	Acetic acid
T [K]	xL1 [mol/mol]
285.65	0.07000
283.15	0.10000
280.05	0.14500
277.45	0.19500
275.35	0.21500
273.85	0.26000
270.15	0.30000
269.25	0.32500
265.65	0.38000
264.15	0.38500
257.95	0.42000
252.05	0.48000
246.35	0.56000
243.95	0.62000
Source
Carta R.; Dernini S.: Solubility of Solid Acetic Acid in Liquid Organic Solvents. J.Chem.Eng.Data 28 (1983) 328-330
