$$$Solid-Liquid Equilibrium Data Set 50872	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C6H6	78.114	71-43-2	Benzene	
T [K]	xL1 [mol/mol]	xL2 [mol/mol]	
278.30	0.04510	0.00370	
277.50	0.01750	0.00140	
276.23	0.03630	0.00300	
275.27	0.05110	0.00420	
273.88	0.07210	0.00590	
278.11	0.00820	0.00170	
277.10	0.02370	0.00490	
276.06	0.03960	0.00810	
275.10	0.05430	0.01120	
273.96	0.07240	0.01490	
278.19	0.00730	0.00350	
277.59	0.01670	0.00790	
276.33	0.03680	0.01740	
274.95	0.05830	0.02750	
273.94	0.07770	0.03670	
278.27	0.00590	0.00540	
277.70	0.01530	0.01400	
276.76	0.03170	0.02900	
275.39	0.05810	0.05310	
273.80	0.08960	0.08190	
278.09	0.00880	0.01690	
277.50	0.01950	0.03740	
276.79	0.03450	0.06620	
276.02	0.05170	0.09920	
274.81	0.07930	0.15190	
278.18	0.00760	0.03920	
277.45	0.02240	0.11640	
276.89	0.03500	0.18140	
276.39	0.04720	0.24480	
275.74	0.06210	0.32200	
Source	
Udovenko V.V.; Babak S.F.: Determination of molecular weight as method of the physicochemical analysis. III. Zh.Obshch.Khim. 17 (1947) 1583-1589	
