$$$Solid-Liquid Equilibrium Data Set 2432
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	C2H4O2	60.053	64-19-7	Acetic acid
T [K]	xL1 [mol/mol]
289.21	0.008719
288.72	0.016763
288.11	0.02623
287.62	0.034506
287.01	0.04465
285.98	0.06190
284.50	0.08464
282.86	0.11008
281.36	0.13383
279.76	0.15751
278.21	0.18029
276.73	0.20187
275.05	0.22566
273.47	0.24807
271.90	0.26922
270.13	0.29197
268.67	0.31075
266.60	0.33593
264.78	0.36231
262.27	0.39079
260.67	0.41054
258.85	0.43495
256.58	0.45743
254.92	0.48017
253.40	0.50827
250.80	0.53883
250.48	0.53883
248.28	0.55842
244.48	0.58838
241.88	0.61182
239.28	0.64989
235.18	0.67344
229.88	0.71346
227.68	0.73327
223.18	0.75816
217.88	0.77947
214.68	0.79704
210.18	0.82373
209.68	0.82754
206.68	0.83492
Source
Pickering S.U.: A Study of the Properties of some Strong Solutions. J.Chem.Soc.London 63 (1893) 998-1027
