$$$Solid-Liquid Equilibrium Data Set 40
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C6H12	84.161	110-82-7	Cyclohexane
T [K]	xL1 [mol/mol]
279.70	0.00000
260.10	0.21500
259.50	0.25300
256.50	0.41300
256.10	0.44800
255.20	0.46100
255.10	0.48600
254.00	0.64700
252.10	0.70800
250.90	0.74800
245.70	0.81500
239.50	0.87500
201.00	0.96900
177.70	1.00000
Source
Spinolo G.: Solid-Liquid Phase Diagrams of Cyclohexane + 2-Propanone or + Methyl ethanoate. Int.Data Series Sel.Data Mixtures Ser. A 1985 (1985) 3-4
