$$$Solid-Liquid Equilibrium Data Set 6783
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C2H4O2	60.053	64-19-7	Acetic acid
T [K]	xL1 [mol/mol]
286.60	0.08300
286.05	0.13530
286.10	0.15300
286.15	0.15790
285.40	0.28430
284.60	0.35700
284.35	0.44360
284.20	0.49400
283.90	0.49440
283.80	0.54700
283.65	0.59000
282.00	0.65020
277.50	0.79970
273.60	0.85700
Source
Zieborak K.; Olszewski K.: Metastable Liquid Phases of the Binary Systems Formed by Acetic Acid with n-Paraffins. Bull.Acad.Pol.Sci.Ser.Sci.Chim.Geol.Geogr. 6 (1958) 123-126
