$$$Solid-Liquid Equilibrium Data Set 6314	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H3N	41.053	75-05-8	Acetonitrile	
2	C6H6	78.114	71-43-2	Benzene	
3	CHCl3	119.377	67-66-3	Chloroform	
T [K]	xL1 [mol/mol]	xL2 [mol/mol]	
265.58	0.09630	0.79810	
260.48	0.19800	0.69800	
255.25	0.29730	0.59740	
250.29	0.40120	0.50220	
244.02	0.50040	0.39960	
239.29	0.59530	0.30300	
232.14	0.70000	0.20010	
258.55	0.09908	0.70010	
252.98	0.20080	0.59790	
247.20	0.29990	0.50050	
240.59	0.40030	0.40030	
233.58	0.52550	0.28290	
199.85	0.10000	0.09970	
192.30	0.10370	0.19990	
199.34	0.20040	0.20030	
211.21	0.09960	0.29930	
210.16	0.59890	0.09970	
202.78	0.50170	0.10120	
191.81	0.40070	0.09941	
191.61	0.20010	0.10010	
220.35	0.79670	0.09890	
215.74	0.70110	0.10010	
226.53	0.60000	0.20010	
220.86	0.50000	0.20020	
249.72	0.10250	0.59860	
243.37	0.20050	0.49750	
236.26	0.29730	0.39880	
228.29	0.39910	0.29990	
214.22	0.40020	0.20020	
223.56	0.30050	0.30010	
232.57	0.20140	0.40140	
239.39	0.10030	0.49960	
227.08	0.10140	0.40030	
217.86	0.19570	0.29720	
206.94	0.30010	0.20050	
Source	
Joh R.; Kreutz J.; Gmehling J.: Measurement and Prediction of Ternary Solid-Liquid Equilibria. J.Chem.Eng.Data 42 (1997) 886-889	
