$$$Solid-Liquid Equilibrium Data Set 8137	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	H2O	18.015	7732-18-5	Water	
2	C4H8O2S	120.172	126-33-0	Sulfolane	
T [K]	xL1 [mol/mol]	
301.63	0.00000	
294.82	0.02240	
288.43	0.04450	
286.29	0.06550	
284.06	0.10350	
281.64	0.14800	
279.34	0.19680	
276.80	0.26020	
275.46	0.29640	
273.73	0.34740	
271.94	0.40180	
270.33	0.45430	
268.94	0.50080	
267.33	0.55070	
265.81	0.59830	
264.07	0.65170	
262.53	0.70000	
264.00	0.75090	
265.27	0.80070	
266.63	0.85450	
267.80	0.90040	
269.61	0.95020	
270.11	0.96010	
273.15	1.00000	
Source	
Ahlers J.; Lohmann J.; Gmehling J.: Binary Solid-Liquid Equilibria of Organic Systems Containing Different Amides and Sulfolane. J.Chem.Eng.Data 44 (1999) 727-730	
$$$Solid-Liquid Equilibrium Data Set 18396	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	H2O	18.015	7732-18-5	Water	
T [K]	xL1 [mol/mol]	
301.58	1.00000	
300.45	0.99660	
299.34	0.99370	
298.44	0.99080	
297.51	0.98790	
296.60	0.98500	
295.67	0.98220	
294.76	0.97930	
293.85	0.97650	
292.89	0.97370	
291.18	0.96810	
289.05	0.96160	
287.74	0.95670	
287.35	0.95620	
287.24	0.95450	
287.15	0.95230	
287.01	0.95010	
286.86	0.94800	
286.72	0.94590	
286.66	0.94550	
286.52	0.94270	
286.25	0.93840	
286.13	0.93770	
285.92	0.93320	
285.48	0.92730	
285.44	0.92700	
285.18	0.92090	
284.75	0.91480	
283.35	0.89080	
282.10	0.86800	
281.02	0.84630	
279.58	0.81580	
278.34	0.78740	
277.32	0.76090	
276.04	0.72830	
274.99	0.69830	
273.85	0.66410	
272.81	0.63310	
271.13	0.57900	
269.75	0.53340	
268.59	0.49450	
267.55	0.46090	
265.95	0.41820	
264.67	0.37220	
263.10	0.32730	
262.44	0.30490	
Source	
Jannelli L.; Azzi A.; Lopez A.; Jalenti R.: Activity Coefficients of Water and Sulfolane from the Solid + Liquid Phase Diagram. Thermochim.Acta 33 (1979) 19-24	
$$$Solid-Liquid Equilibrium Data Set 18397	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	H2O	18.015	7732-18-5	Water	
T [K]	xL1 [mol/mol]	
273.15	0.00000	
273.03	0.00120	
272.93	0.00230	
272.58	0.00610	
272.42	0.00800	
272.30	0.00950	
272.19	0.01100	
271.84	0.01600	
271.54	0.01960	
271.28	0.02030	
271.18	0.02480	
271.01	0.02720	
270.84	0.02970	
270.64	0.03270	
270.37	0.03700	
270.19	0.04020	
270.02	0.04340	
269.86	0.04650	
269.69	0.05010	
269.48	0.05430	
269.32	0.05780	
269.15	0.06190	
268.96	0.06650	
268.76	0.07200	
268.53	0.07830	
268.25	0.08440	
268.25	0.08600	
267.86	0.10050	
267.47	0.11250	
266.93	0.12980	
266.25	0.15620	
265.53	0.18640	
264.56	0.22430	
263.46	0.26840	
263.16	0.28130	
Source	
Jannelli L.; Azzi A.; Lopez A.; Jalenti R.: Activity Coefficients of Water and Sulfolane from the Solid + Liquid Phase Diagram. Thermochim.Acta 33 (1979) 19-24	
