$$$Solid-Liquid Equilibrium Data Set 5574	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H14	86.177	110-54-3	Hexane	
2	C4H10O	74.123	71-36-3	1-Butanol	
3	C10H8	128.174	91-20-3	Naphthalene	
T [K]	xL1 [mol/mol]	xL2 [mol/mol]	
285.75	0.18572	0.76378	
291.15	0.18349	0.75461	
295.95	0.18103	0.74447	
300.15	0.17847	0.73393	
303.75	0.17584	0.72316	
308.45	0.17193	0.70707	
311.20	0.16880	0.69420	
316.35	0.16196	0.66604	
318.95	0.15765	0.64835	
323.40	0.14807	0.60893	
338.25	0.08880	0.36520	
282.55	0.46587	0.47853	
286.35	0.46158	0.47412	
291.55	0.45453	0.46687	
296.05	0.44644	0.45856	
299.80	0.43904	0.45096	
304.35	0.42818	0.43982	
304.25	0.41339	0.42461	
312.95	0.39957	0.41043	
318.45	0.37343	0.38357	
320.55	0.36258	0.37242	
331.05	0.28217	0.28983	
282.35	0.74944	0.18806	
284.05	0.74480	0.18690	
288.45	0.73529	0.18451	
291.85	0.72554	0.18206	
295.65	0.71386	0.17914	
300.25	0.69708	0.17492	
304.55	0.67629	0.16971	
309.75	0.64751	0.16249	
312.95	0.62273	0.15627	
315.25	0.60355	0.15145	
318.55	0.57237	0.14363	
327.75	0.45566	0.11434	
Source	
Domanska U.; Rolinska J.: Part VI: Solubility of Naphthalene in Binary Solvent Mixtures. Manuscript  (1994) 1-36	
