$$$Solid-Liquid Equilibrium Data Set 50878
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C3H6O	58.080	67-64-1	Acetone
3	C6H6	78.114	71-43-2	Benzene
T [K]	xL1 [mol/mol]	xL2 [mol/mol]
278.16	0.00740	0.00120
277.52	0.01700	0.00290
276.40	0.03380	0.00570
275.31	0.05020	0.00840
274.15	0.06750	0.01130
278.03	0.00960	0.00450
277.39	0.01920	0.00900
276.27	0.03560	0.01670
274.84	0.05700	0.02670
273.59	0.07580	0.03550
278.18	0.00730	0.00690
277.63	0.01570	0.01480
276.75	0.02830	0.02670
275.30	0.04950	0.04680
274.05	0.06780	0.06410
278.19	0.00730	0.01380
277.59	0.01620	0.03040
276.58	0.03070	0.05760
275.07	0.05170	0.09710
278.09	0.00820	0.04170
277.57	0.01560	0.07910
276.05	0.02720	0.13760
274.77	0.04750	0.24020
273.78	0.05680	0.28740
Source
Udovenko V.V.; Babak S.F.: Determination of molecular weight as method of the physicochemical analysis. III. Zh.Obshch.Khim. 17 (1947) 1583-1589
