$$$Solid-Liquid Equilibrium Data Set 2262
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O	46.069	64-17-5	Ethanol
2	C3H6O	58.080	67-64-1	Acetone
3	C2H4O2	60.053	64-19-7	Acetic acid
T [K]	xL1 [mol/mol]	xL2 [mol/mol]
245.20	0.00000	0.53200
245.20	0.08000	0.43300
245.20	0.12500	0.38900
245.20	0.21000	0.30600
245.20	0.26700	0.24100
245.20	0.38500	0.14500
245.20	0.50200	0.04100
245.20	0.53100	0.00000
252.70	0.00000	0.44500
252.70	0.06800	0.39000
252.70	0.10800	0.34600
252.70	0.18500	0.27200
252.70	0.23200	0.20400
252.70	0.32900	0.12100
252.70	0.43000	0.03500
252.70	0.46200	0.00000
263.10	0.00000	0.35000
263.10	0.05600	0.29500
263.10	0.08400	0.26700
263.10	0.14500	0.21000
263.10	0.18600	0.16400
263.10	0.25300	0.09400
263.10	0.33900	0.02900
263.10	0.36000	0.00000
273.90	0.00000	0.21900
273.90	0.03300	0.18300
273.90	0.05100	0.16400
273.90	0.09000	0.12600
273.90	0.12000	0.10300
273.90	0.16800	0.06200
273.90	0.20800	0.01700
273.90	0.21800	0.00000
283.20	0.00000	0.08900
283.20	0.01600	0.08600
283.20	0.02400	0.06900
283.20	0.05100	0.04600
283.20	0.06300	0.03600
283.20	0.07800	0.02100
283.20	0.08800	0.00700
283.20	0.09600	0.00000
Source
Carta R.; Dernini St.; Tola G.: Solubility of Solid Acetic Acid in Acetone-Ethanol Mixtures. J.Chem.Eng.Data 30 (1985) 410-412
