$$$Solid-Liquid Equilibrium Data Set 3084	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
2	CH4O	32.042	67-56-1	Methanol	
3	H2O	18.015	7732-18-5	Water	
T [K]	xL1 [mol/mol]	xL2 [mol/mol]	
269.55	0.03125	0.00000	
268.95	0.02425	0.013173	
268.35	0.020106	0.020973	
268.15	0.017904	0.025117	
267.65	0.015274	0.03007	
267.45	0.012346	0.03558	
267.25	0.009125	0.04164	
266.85	0.006537	0.04651	
266.65	0.003686	0.05188	
266.35	0.00000	0.05882	
264.85	0.06767	0.00000	
263.55	0.05212	0.028316	
262.95	0.04303	0.044886	
262.35	0.03823	0.05363	
261.45	0.032524	0.06402	
260.95	0.02621	0.07553	
260.25	0.019306	0.08810	
259.35	0.013793	0.09815	
258.35	0.007756	0.10914	
257.85	0.00000	0.12327	
258.75	0.11065	0.00000	
257.05	0.08450	0.04590	
255.45	0.06941	0.07240	
254.25	0.06150	0.08628	
253.05	0.05216	0.10267	
252.15	0.041885	0.12071	
251.15	0.03074	0.14027	
249.55	0.021895	0.15579	
248.15	0.01227	0.17268	
246.85	0.00000	0.19422	
250.55	0.16216	0.00000	
247.75	0.12257	0.06658	
245.15	0.10008	0.10440	
243.75	0.08841	0.12403	
242.05	0.07471	0.14706	
240.85	0.05976	0.17221	
239.55	0.043665	0.19927	
237.75	0.03100	0.22057	
235.25	0.01731	0.24359	
233.45	0.00000	0.27270	
238.55	0.22500	0.00000	
235.25	0.16796	0.09124	
231.55	0.13620	0.14207	
229.05	0.11988	0.16817	
226.65	0.10088	0.19858	
225.45	0.08032	0.23147	
223.55	0.05840	0.26653	
221.15	0.04130	0.29389	
219.15	0.022967	0.32322	
218.25	0.00000	0.35997	
Source	
Conrad F.H.; Hill E.F.; Ballman E.A.: Freezing Points of the System Ethylene Glycol-Methanol-Water. Ind.Eng.Chem. Ind.Ed. 32 (1940) 542-543	
