Formula	Molar Mass	CAS Registry Number	Name	
C6H14	86.177	110-54-3	Hexane	
$$$Boiling Point	
T [K]	P [kPa]	State	Reference	
341.85	101.325	Vapor-Liquid	1	
Number	Source	
1	Suresh Reddy K.V.N.; Sankara Reddy G.; Krishnaiah A.: Excess Volumes, Densities, Speeds of Sound and Viscosities for the Binary Systems of Diisopropyl Ether with Hydrocarbons at 303.15 K. Thermochim.Acta 440 (2006) 43-50	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
298.15	1.31460001285E-006	Liquid	5	
298.15	1.31499996314E-006	Liquid	2	
298.15	1.31668002723E-006	Liquid	6	
298.15	1.31761999E-006	Liquid	4	
298.15	1.3176900211E-006	Liquid	1	
298.15	1.31781996515E-006	Liquid	3	
Number	Source	
1	Junquera E.; Tardajos G.; Aicart E.: n-hexane or n-heptane or n-octane or n-decane) at 298.15 K. J.Chem.Thermodyn. 20 (1988) 1461-1467	
2	de Cominges B.E.; Iglesias T.P.; Pineiro M.M.; Legido J.L.; Paz Andrade M.I.: Refractive Indices and Speeds of Sound of Binary Mixtures of n-Octane with 1-Alkanol at the Temperature 298.15 K. Phys.Chem.Liq. 37 (1999) 683-699	
3	Aicart E.; Kumaran M.K.; Halpin C.J.; Benson G.C.: Ultrasonic Speeds and Isentropic Compressibilities of 2-Methylpentan-1-ol with Hexane Isomers at 298.15 K. J.Chem.Thermodyn. 15 (1983) 1189-1197	
4	Aicart E.; Kumaran M.K.; Halpin C.J.; Benson G.C.: Ultrasonic speeds and isentropic compressibilities of n-heptane + each of the hexane isomers at 298.15 K.. J.Chem.Thermodyn. 15 (1983) 919-925	
5	Dominguez M.; Pardo J.; Santafe J.; Royo F.M.; Urieta J.S.: Densities, Speeds of Sound and Isentropic Compressibilities of Binary and Ternary Mixtures containing Benzene, Cyclohexane and Hexane at 298.15 K. Fluid Phase Equilib. 118 (1996) 227-240	
6	Tardajos G.; Diaz Pena M.; Aicart E.: Speed of sound in pure liquids by a pulse-echo-overlap method. J.Chem.Thermodyn. 18 (1986) 683-689	
$$$Compressibility (isothermal)	
T [K]	Compressibility (isothermal) [/kPa]	State	Reference	
293.20	1.64999994468E-006	Liquid	1	
298.15	1.67399991824E-006	Liquid	2	
303.20	1.77750007424E-006	Liquid	1	
313.20	1.92159996004E-006	Liquid	1	
318.15	2.03299987334E-006	Liquid	2	
Number	Source	
1	Technische Hochschule Carl Schorlemmer Leuna-Merseburg, Merseburg (GDR): Unpublished data. Unpublished Data  (1989) 1-360	
2	Bauder A.; Guenthard H.H.: Thermodynamic properties of formamide. (Ger). Helv.Chim.Acta 41 (1958) 670-673	
$$$Compressibility Factor (isothermal)	
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference	
523.15	1519.880	0.800	Vapor	1	
523.15	2026.500	0.736	Vapor	1	
523.15	2533.120	0.657	Vapor	1	
523.15	3039.750	0.552	Vapor	1	
523.15	3546.380	0.394	Vapor	1	
523.15	4053.000	0.276	Vapor	1	
523.15	4559.620	0.271	Vapor	1	
523.15	5066.250	0.283	Vapor	1	
523.15	5572.880	0.300	Vapor	1	
523.15	6079.500	0.317	Vapor	1	
523.15	6586.130	0.334	Vapor	1	
548.15	1519.880	0.835	Vapor	1	
548.15	2026.500	0.789	Vapor	1	
548.15	2533.120	0.732	Vapor	1	
548.15	3039.750	0.665	Vapor	1	
548.15	3546.380	0.591	Vapor	1	
548.15	4053.000	0.509	Vapor	1	
548.15	4559.620	0.437	Vapor	1	
548.15	5066.250	0.390	Vapor	1	
548.15	5572.880	0.372	Vapor	1	
548.15	6079.500	0.371	Vapor	1	
548.15	6586.130	0.379	Vapor	1	
548.15	7092.750	0.391	Vapor	1	
548.15	7599.380	0.405	Vapor	1	
548.15	8106.000	0.421	Vapor	1	
548.15	8612.620	0.436	Vapor	1	
548.15	9119.250	0.452	Vapor	1	
573.15	1519.880	0.851	Vapor	1	
573.15	2026.500	0.814	Vapor	1	
573.15	2533.120	0.775	Vapor	1	
573.15	3039.750	0.733	Vapor	1	
573.15	3546.380	0.688	Vapor	1	
573.15	4053.000	0.638	Vapor	1	
573.15	4559.620	0.588	Vapor	1	
573.15	5066.250	0.543	Vapor	1	
573.15	5572.880	0.506	Vapor	1	
573.15	6079.500	0.480	Vapor	1	
573.15	6586.130	0.466	Vapor	1	
573.15	7092.750	0.462	Vapor	1	
573.15	7599.380	0.467	Vapor	1	
573.15	8106.000	0.474	Vapor	1	
573.15	8612.620	0.484	Vapor	1	
573.15	9119.250	0.498	Vapor	1	
573.15	9625.880	0.512	Vapor	1	
573.15	10132.500	0.526	Vapor	1	
Number	Source	
1	Watson L.M.; Dodge B.F.: P-V-T-X Relations of the Toluene - n-Hexane System. Chem.Eng.Prog.(CEP) 48 (1952) 73-81	
$$$Critical Data	
T [K]	P [kPa]	State	Reference	
		Critical Point	1	
507.30		Critical Point	3	
507.85	3033.670	Critical Point	2	
507.85	3033.700	Critical Point	2	
507.85	3058.000	Critical Point	1	
509.85		Critical Point	4	
Number	Source	
1	Kurumov D.S.; Grigorev B.A.: Experimentelle Untersuchung P,V,T- Abhängigkeit von n-Hexan im kritischen Bereich. Zh.Fiz.Khim. 56 (1982) 551-555	
2	Kay W.B.: The vapor pressures and saturated liquid and vapor densities of the isomeric Hexanes.. J.Am.Chem.Soc. 68 (1946) 1336-1339	
3	Hicks C.P.; Young C.L.: Gas-Liquid Critical Temperatures of n-Alkane + n-Alkane Mixtures. Trans.Faraday Soc. 66 (1970) 1340-1347	
4	Kreglewski A.: Critical Temperature Curves of Binary, and Critical Temperature Surfaces of Ternary Systems Composed of Pyridine, Acetic Acid and n-Paraffins are given. Rocz.Chem. 31 (1957) 1000-1012	
$$$Density	
T [K]	P [kPa]	Density [kg/m3]	State	Reference	
223.00		723.300	Liquid	4	
