Formula	Molar Mass	CAS Registry Number	Name	
C6H12	84.161	110-82-7	Cyclohexane	
$$$Boiling Point	
T [K]	P [kPa]	State	Reference	
353.95	101.325	Vapor-Liquid	1	
Number	Source	
1	Suresh Reddy K.V.N.; Sankara Reddy G.; Krishnaiah A.: Excess Volumes, Densities, Speeds of Sound and Viscosities for the Binary Systems of Diisopropyl Ether with Hydrocarbons at 303.15 K. Thermochim.Acta 440 (2006) 43-50	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
298.15	8.18999978947E-007	Liquid	5	
298.15	8.21300034204E-007	Liquid	6	
298.15	8.21699984499E-007	Liquid	3	
298.15	8.21800028916E-007	Liquid	3	
298.15	8.2190001649E-007	Liquid	3	
298.15	8.22000004064E-007	Liquid	2	
298.15	8.22790013899E-007	Liquid	1	
303.15	8.58999953834E-007	Liquid	4	
308.15	8.94999971024E-007	Liquid	5	
Number	Source	
1	Junquera E.; Tardajos G.; Aicart E.: n-hexane or n-heptane or n-octane or n-decane) at 298.15 K. J.Chem.Thermodyn. 20 (1988) 1461-1467	
2	Iglesias M.; Orge B.; Tojo J.: Speeds of sound, densities, refractive indices, and isentropic compressibilities of {x1C6H6 + x2c-C6H12 + (1-x1-x2)C6H5Cl} at the temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 1179-1185	
3	Ohomuro K.; Tamura K.; Murakami S.: Speeds of sound, excess molar volumes, and isentropic compressibilities of {xCH3COC2H5 + (1 - x)C7H16}, {xCH3COC2H5 + (1 - x)c-C6H12}, {xCH3COC2H5 + (1 - x)c-C6H11CH3}, {xC2H5COC2H5 + (1 - x)C7H16}, and {xC2H5COC2H5 + (1 - x)c-C6H12} at 298.15 K. J.Chem.Thermodyn. 19 (1987) 163-169	
4	Oswal S.; Patel A.T.: 1. Tri-n-alkylamines with Cycloxehane and Benzene. J.Chem.Eng.Data 39 (1994) 366-371	
5	Nath J.; Dixit A.P.: Ultrasonic Velocities in, and Adiabatic Compressibilities and Excess Volumes for, Binary Liquid Mixtures of Acetone with Tetrachloroethylene, Trichloroethylene, Methylene Chloride, 1,2-Dichloroethane, and Cyclohexane. J.Chem.Eng.Data 29 (1984) 313-316	
6	Dominguez M.; Pardo J.; Santafe J.; Royo F.M.; Urieta J.S.: Densities, Speeds of Sound and Isentropic Compressibilities of Binary and Ternary Mixtures containing Benzene, Cyclohexane and Hexane at 298.15 K. Fluid Phase Equilib. 118 (1996) 227-240	
$$$Compressibility (isothermal)	
T [K]	Compressibility (isothermal) [/kPa]	State	Reference	
293.20	1.12930001706E-006	Liquid	1	
298.15	1.11969995942E-006	Liquid	3	
298.20	1.18299999485E-006	Liquid	2	
308.15	1.21879998005E-006	Liquid	3	
313.20	1.27800001337E-006	Liquid	1	
318.15	1.33080004616E-006	Liquid	3	
333.15	1.51950007421E-006	Liquid	3	
333.20	1.45550006891E-006	Liquid	1	
Number	Source	
1	Technische Hochschule Carl Schorlemmer Leuna-Merseburg, Merseburg (GDR): Unpublished data. Unpublished Data  (1989) 1-360	
2	Polzin B.; Weiss A.: VIII. Molar Volume and Selfdiffusion of Organic Liquids at Pressures up to 200 MPa. Ber.Bunsen-Ges.Phys.Chem. 94 (1990) 746-758	
3	Aicart E.; Tardajos G.; Diaz Pena M.: Isothermal Compressibility of Cyclohexane + n-Tridecane and +N-Pentadecane at 298.15, 308.15, 318.15, and 333.15 K. J.Chem.Thermodyn. 13 (1981) 783-788	
$$$Critical Data	
T [K]	P [kPa]	State	Reference	
553.15	4033.300	Critical Point	4	
553.35		Critical Point	1	
554.10		Critical Point	2	
554.15	3978.560	Critical Point	5	
Number	Source	
1	Richardson M.J.; Rowlinson J.S.: The Solubility of Mercury in Gases at High Density. Trans.Faraday Soc. 55 (1959) 1333-1337	
2	Rätzsch M.: Kritische Temperaturen binärer Systeme. Z.Phys.Chem.(Leipzig) 243 (1970) 212-220	
3	Simon M.: Methods and instruments employed at the Bureau of physisochemical standards. XV. Critical constants and straight-line diameters of 10 hydrocarbons. (Fr). Bull.Soc.Chim.Belg. 66 (1957) 375-381	
4	Young S.; Fortey E.C.: The vapour pressures, specific volumes and critical constants of hexamethylene. J.Chem.Soc.London 75 (1899) 873-883	
5	Glaser F.; Rüland H.: Untersuchungen über Dampfdruckkurven und kritische Daten einiger technisch wichtiger organischer Substanzen. Chem.Ing.Tech. CIT 29 (1957) 772-775	
6	Cheng D.C.-H.: Critical temperatures and volumes of some binary systems. Chem.Eng.Sci. 18 (1963) 715-724	
$$$Density	
T [K]	P [kPa]	Density [kg/m3]	State	Reference	
283.15	101.300	789.100	Liquid	2	
283.15	1082.000	790.000	Liquid	2	
283.15	2062.600	790.800	Liquid	2	
283.15	3043.200	791.600	Liquid	2	
283.15	4023.900	792.500	Liquid	2	
293.15		779.700	Liquid	1	
293.15	101.300	779.600	Liquid	2	
293.15	1082.000	780.500	Liquid	2	
293.15	2062.600	781.400	Liquid	2	
293.15	3043.200	782.200	Liquid	2	
293.15	4023.900	783.000	Liquid	2	
298.15	101.300	775.000	Liquid	2	
298.15	1082.000	775.900	Liquid	2	
298.15	2062.600	776.700	Liquid	2	
298.15	3043.200	777.500	Liquid	2	
298.15	4023.900	778.300	Liquid	2	
303.15		771.200	Liquid	1	
313.15		760.900	Liquid	1	
323.15	101.300	750.600	Liquid	2	
323.15	1082.000	751.700	Liquid	2	
323.15	2062.600	752.700	Liquid	2	
323.15	3043.200	753.700	Liquid	2	
323.15	4023.900	754.700	Liquid	2	
348.15	101.300	726.500	Liquid	2	
348.15	1082.000	727.600	Liquid	2	
348.15	2062.600	728.800	Liquid	2	
348.15	3043.200	730.000	Liquid	2	
348.15	4023.900	731.100	Liquid	2	
373.15	1082.000	702.700	Liquid	2	
373.15	2062.600	704.100	Liquid	2	
373.15	3043.200	705.300	Liquid	2	
373.15	4023.900	706.600	Liquid	2	
398.15	1082.000	676.200	Liquid	2	
398.15	2062.600	678.000	Liquid	2	
398.15	3043.200	679.700	Liquid	2	
398.15	4023.900	681.200	Liquid	2	
423.15	1082.000	647.000	Liquid	2	
423.15	2062.600	649.500	Liquid	2	
423.15	3043.200	651.900	Liquid	2	
423.15	4023.900	654.200	Liquid	2	
448.15	1082.000	615.200	Liquid	2	
448.15	2062.600	618.400	Liquid	2	
448.15	3043.200	621.400	Liquid	2	
448.15	4023.900	624.300	Liquid	2	
473.15	1082.000	578.800	Liquid	2	
473.15	2062.600	582.600	Liquid	2	
473.15	3043.200	586.900	Liquid	2	
473.15	4023.900	591.100	Liquid	2	
498.15	1082.000	529.500	Liquid	2	
498.15	2062.600	537.600	Liquid	2	
498.15	3043.200	545.300	Liquid	2	
498.15	4023.900	552.000	Liquid	2	
523.15	2062.600	474.400	Liquid	2	
523.15	3043.200	488.200	Liquid	2	
523.15	4023.900	502.000	Liquid	2	
533.15	3043.200	443.000	Liquid	2	
533.15	4023.900	475.300	Liquid	2	
548.15	4023.900	415.800	Liquid	2	
Number	Source	
1	Lomova N.N.; Shakhparonov M.I.: Dielektrische Dürchlässigkeit und Molekularstruktur der Nitrobenzen-Lösungen im Hexan und Cyclohexan. Vestn.Mosk.Univ.Ser.2 Khim. 1 (1960) 11-17	
2	Kerimov A.M.; Apaev T.A.: Experimental values of density of 1-hexene,1-octene,cyclohexene,cyclohexane, and methylcyclohexane in dependence on temperature and pressure. Teplofiz.Svoistva Vesh.Mater.  (1972) 26-46	
$$$Dielectric Constant	
T [K]	Dielectric Constant [-]	State	Reference	
212.65	1.97000	Crystal 1	5	
223.35	1.98200	Crystal 1	5	
230.15	1.99000	Crystal 1	5	
235.95	1.99400	Crystal 1	5	
255.15	2.02600	Crystal 1	5	
281.15	2.04100	Liquid	5	
293.15	2.02000	Liquid	2	
293.15	2.02100	Liquid	5	
293.15	2.02280	Liquid	1	
293.15	2.02300	Liquid	3	
298.15	1.98900	Liquid	4	
299.55	2.01300	Liquid	5	
303.15	2.00670	Liquid	1	
303.15	2.01000	Liquid	2	
307.95	1.99700	Liquid	5	
308.15	1.88600	Liquid	4	
313.15	1.99000	Liquid	2	
313.15	1.99220	Liquid	3	
313.15	1.99380	Liquid	1	
323.15	1.97320	Liquid	1	
323.15	1.98000	Liquid	2	
333.15	1.96000	Liquid	2	
Number	Source	
1	Malanowski S.; Patz R.; Rätzsch M.T.; Wohlfarth C.: Dielectric, Electro-Optical and Thermodynamic Investigation of Binary Mixtures Formed by Pyridine with Hydrocarbons and Chlorobenzene. Fluid Phase Equilib. 3 (1979) 291-312	
2	Moelwyn-Hughes E.A.; Thorpe P.L.: I. Dielectric Constants and Heats of Mixing. Proc.Roy.Soc.London Ser.A 277 (1964) 423-436	
3	Kohler F.; Lieberman E.; Schano R.; Affsprung H.E.; Morrow J.K.; Sosnkowska-Kehiaian K.; Kehiaian H.: Mixtures of Phenol with Non-Polar Solvents: Thermodynamic, Dielectric, and N.M.R. Properties.. J.Chem.Thermodyn. 7 (1975) 241-250	
