Formula	Molar Mass	CAS Registry Number	Name
C8H10	106.167	106-42-3	p-Xylene
$$$Compressibility (isentropic)
T [K]	P [kPa]	Compressibility (isentropic) [/kPa]	State	Reference
298.15		6.80590005686E-007	Liquid	3
303.15		7.02999955138E-007	Liquid	1
303.15	100.000	7.02400029695E-007	Liquid	2
303.15	10000.000	6.4350001594E-007	Liquid	2
303.15	20000.000	5.95400024395E-007	Liquid	2
303.15	30000.000	5.57600003503E-007	Liquid	2
303.15	40000.000	5.23799997154E-007	Liquid	2
303.15	50000.000	4.94400012485E-007	Liquid	2
Number	Source
1	Rao D.N.; Krishnaiah A.; Naidu P.R.: Excess Thermodynamic Properties of Liquid (Ethylenediamine + an Aromatic Hydrocarbon).. J.Chem.Thermodyn. 13 (1981) 677-682
2	Takagi T.: Ultrasonic Speeds and Thermodynamics of (Benzene + an Isomeric Xylene) under High Pressures. J.Chem.Thermodyn. 13 (1981) 291-299
3	Tardajos G.; Diaz Pena M.; Aicart E.: Speed of sound in pure liquids by a pulse-echo-overlap method. J.Chem.Thermodyn. 18 (1986) 683-689
$$$Critical Data
T [K]	P [kPa]	State	Reference
615.90		Critical Point	3
616.15	3511.000	Critical Point	6
616.20	3511.000	Critical Point	5
616.23	3510.700	Critical Point	1
617.45	3236.190	Critical Point	4
617.55	3432.000	Critical Point	2
Number	Source
1	Ambrose D.: Vapour pressure of some aromatic hydrocarbons.. J.Chem.Thermodyn. 19 (1987) 1007-1008
2	Altschul M.: Critical properties of several organic compounds. (Ger). Z.Phys.Chem.(Leipzig) 11 (1893) 577-597
3	Simon M.: Methods and instruments employed at the Bureau of physisochemical standards. XV. Critical constants and straight-line diameters of 10 hydrocarbons. (Fr). Bull.Soc.Chim.Belg. 66 (1957) 375-381
4	Glaser F.; Rüland H.: Untersuchungen über Dampfdruckkurven und kritische Daten einiger technisch wichtiger organischer Substanzen. Chem.Ing.Tech. CIT 29 (1957) 772-775
5	Tsonopoulos C.; Ambrose D.: 3. Aromatic Hydrocarbons.. J.Chem.Eng.Data 40 (1995) 547-558
6	Ambrose D.; Broderick B.E.; Townsend R.: The vapour pressures above the normal boiling point and the critical pressures of some aromatic hydrocarbons. J.Chem.Soc.A  (1967) 633-641
$$$Density
T [K]	P [kPa]	Density [kg/m3]	State	Reference
323.15	431.500	835.003	Liquid	1
323.15	1133.100	835.561	Liquid	1
323.15	2637.600	836.960	Liquid	1
323.15	4583.100	838.574	Liquid	1
323.15	7564.000	841.184	Liquid	1
323.15	10263.000	843.384	Liquid	1
323.15	15232.000	848.104	Liquid	1
323.15	20411.000	852.079	Liquid	1
323.15	25080.000	855.652	Liquid	1
323.15	30260.000	859.328	Liquid	1
323.15	35638.000	862.962	Liquid	1
323.15	40464.000	866.101	Liquid	1
323.15	48881.000	871.384	Liquid	1
323.15	49555.000	868.961	Liquid	1
348.15	547.700	813.206	Liquid	1
348.15	2663.600	815.395	Liquid	1
348.15	5124.900	817.862	Liquid	1
