Formula	Molar Mass	CAS Registry Number	Name	
C2H3N	41.053	75-05-8	Acetonitrile	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
303.15	8.17000000097E-007	Liquid	1	
Number	Source	
1	Narayanaswamy G.; Dharmaraju G.; Kodanda Raman G.: Excess Volumes and Isentropis Compressibilities of Acetonitrile +N-Propanol, +I-Propanol, +N-Butanol, +I-Butanol, and +Cyclohexanol at 303.15 K.. J.Chem.Thermodyn. 13 (1981) 327-331	
$$$Critical Data	
T [K]	P [kPa]	State	Reference	
544.99	4934.000	Critical Point	5	
545.50	4830.000	Critical Point	3	
545.50	4890.000	Critical Point	2	
547.89		Critical Point	1	
Number	Source	
1	Ter-Gazarian G.: Orthobaric densities of acetonitrile and propionitrile up to the critical point. (Ger). Chem.Zentralbl. 2 (1906) 105-106	
2	Castillo-Lopez N.; Trejo A.: The Critical Temperatures and Pressures of Several n-Alkanenitriles.. J.Chem.Thermodyn. 19 (1987) 671-672	
3	Rodriguez A.T.; McLure I.A.: Critical Temperature and Pressure of Ethanenitrile.. J.Chem.Thermodyn. 11 (1979) 1113-1114	
4	Rodriguez A.T.; McLure I.A.: II. Gas-Liquid Pressure-Temperature-Composition Critical Loci for Ethanenitrile with C-4-C11 n-Alkanes.. Fluid Phase Equilib. 12 (1983) 297-305	
5	Kay W.B.; Young C.L.: Gas-Liquid Critical Properties. Int.Data Series Sel.Data Mixtures Ser. A 1975 (1975) 52-65	
6	Ter-Gazarian G.: Orthobaric densities of acetonitrile and propionitrile up to the critical poin.. J.Chim.Phys. 4 (1906) 140-169	
$$$Density	
T [K]	Density [kg/m3]	State	Reference	
253.00	826.600	Liquid	3	
263.00	815.500	Liquid	3	
273.00	804.300	Liquid	3	
278.00	797.800	Liquid	5	
283.00	793.100	Liquid	3	
283.15	792.490	Liquid	4	
288.00	787.000	Liquid	5	
288.15	787.990	Liquid	2	
293.00	782.000	Liquid	3	
293.15	782.600	Liquid	2	
293.15	783.000	Liquid	1	
298.00	776.400	Liquid	3	
298.00	776.700	Liquid	5	
298.15	775.900	Liquid	6	
298.15	776.390	Liquid	4	
298.15	777.250	Liquid	2	
303.00	770.800	Liquid	3	
303.15	771.700	Liquid	6	
303.15	771.830	Liquid	2	
303.15	774.800	Liquid	1	
308.00	765.700	Liquid	5	
308.15	766.200	Liquid	6	
308.15	766.280	Liquid	2	
313.00	759.600	Liquid	3	
313.15	759.950	Liquid	4	
313.15	760.560	Liquid	2	
313.15	760.900	Liquid	6	
313.15	766.600	Liquid	1	
318.00	754.700	Liquid	5	
318.15	754.980	Liquid	2	
318.15	755.900	Liquid	6	
323.00	748.400	Liquid	3	
323.15	749.190	Liquid	2	
323.15	758.400	Liquid	1	
328.15	743.140	Liquid	4	
328.15	743.600	Liquid	2	
333.00	737.300	Liquid	3	
333.15	735.760	Liquid	2	
Number	Source	
1	Armenskaya S.E.; Lanshina L.V.: Untersuchung der Raylei-Lichtstreuung in Acetonitril-Chloroform-Lösungen. Vestn.Mosk.Univ.Ser.2 Khim. 14 (1973) 227-229	
2	Khimenko M.T.; Gritsenko N.N.: Determination of polarizability and the radius of acetonitrile and dimethylacetamide molecules.. Zh.Fiz.Khim. 54 (1980) 198-199	
3	Demakhin A.G.; Ponomarenko S.M.; Yudina O.Yu.: I.Temperaturabhängigkeit der Volumen-Eigenschaften von Lösungsmitteln. Oniitekhim  (1991) 1-23	
4	Davydova O.I.; Afanasev V.N.; Zhukov B.A.; Krestov G.A.: Untersuchung der Viskosität von System Nitromethan-Acetonitril. Zh.Fiz.Khim. 60 (1986) 982-984	
5	V'yunnik I.N.; Zholnovach A.M.; Belous S.A.; Rudenko A.P.: Untersuchung physikalisch-chemischer Eigenschaften von Acetonitril-Ethylacetat-Mischungen bei 278, 288, 298, 308, 318 K. Oniitekhim  (1983) 1-12	
6	Moumouzias G.; Panopoulos D.K.; Ritzoulis G.: Excess Properties of the Binary Liquid System Propylene Carbonate + Acetonitrile. J.Chem.Eng.Data 36 (1991) 20-23	
$$$Dielectric Constant	
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference	
278.15		39.70000	Liquid	5	
288.15		38.02000	Liquid	1	
288.15		38.10000	Liquid	5	
293.15		36.64000	Liquid	1	
293.15	5000.000	37.70000	Liquid	6	
293.15	10000.000	37.90000	Liquid	6	
293.15	20000.000	38.30000	Liquid	6	
293.15	30000.000	38.65000	Liquid	6	
293.15	40000.000	39.00000	Liquid	6	
293.15	50000.000	39.30000	Liquid	6	
293.15	60000.000	39.60000	Liquid	6	
293.15	80000.000	40.15000	Liquid	6	
293.15	100000.000	40.65000	Liquid	6	
293.15	120000.000	41.20000	Liquid	6	
293.15	140000.000	41.60000	Liquid	6	
293.15	160000.000	42.05000	Liquid	6	
293.15	180000.000	42.45000	Liquid	6	
293.15	200000.000	42.85000	Liquid	6	
293.15	225000.000	43.35000	Liquid	6	
298.15		35.94000	Liquid	3	
298.15		36.04000	Liquid	1	
298.15		36.70000	Liquid	5	
298.15	101.330	35.85000	Liquid	4	
303.15		34.64000	Liquid	1	
308.15		33.19000	Liquid	1	
308.15		33.29000	Liquid	2	
308.15		35.20000	Liquid	5	
313.15		33.20000	Liquid	2	
318.15		32.80000	Liquid	2	
318.15		33.20000	Liquid	1	
318.15		33.90000	Liquid	5	
323.15		32.21000	Liquid	1	
328.15		31.78000	Liquid	2	
328.15		32.70000	Liquid	5	
333.15		31.08000	Liquid	1	
Number	Source	
1	Khimenko M.T.; Aleksandrov V.V.; Gritsenko N.N.: Polarizability and radii of molecules of some pure liquids. Zh.Fiz.Khim. 47 (1973) 2914-2915	
2	Khimenko M.T.; Gritsenko N.N.: Determination of polarizability and the radius of acetonitrile and dimethylacetamide molecules.. Zh.Fiz.Khim. 54 (1980) 198-199	
3	Lührs C.; Schwitzgebel G.: Beziehungen zwischen der Kompressibilität und der Druckabhängigkeit der Dielektrizitätskonstante. Wasser-Acetonitril Mischungen bei 25 °C und Drücken bis 850 bar. Ber.Bunsen-Ges.Phys.Chem. 83 (1979) 623-627	
4	Cote J.-F.; Brouillette D.; Desnoyers J.E.; Rouleau J.-F.; St.-Arnaud J.-M.; Perron G.: Dielectric Constants of Acetonitrile, gamma-Butyrolactone, Propylene Carbonate, and 1,2-Dimethoxyethane as a Function of Pressure and Temperature. J.Solution Chem. 25 (1996) 1163-1173	
5	Vyunnik I.N.; Zholnovach A.M.; Shkodin A.M.: Physicochemical Properties of the Binary Solvent Acetonitrile-Benzene. Zh.Obshch.Khim. 47 (1977) 1681-1686	
6	Hill W.W.; Rosenzweig S.; Franck E.U.: The Static Dielectric Constant of Methyl Cyanide to 350°C and 2000 bar. Ber.Bunsen-Ges.Phys.Chem. 94 (1990) 564-568	
$$$Diffusion Coefficient	
T [K]	P [kPa]	Diffusion Coefficient [cm2/s]	State	Reference	
273.15	100.000	2.13000002987E-0005	Liquid	1	
273.15	7800.000	2.09000008908E-0005	Liquid	1	
273.15	16100.000	1.9400000383E-0005	Liquid	1	
273.15	24400.000	1.85999997484E-0005	Liquid	1	
298.15	100.000	3.18000020343E-0005	Liquid	1	
298.15	8000.000	2.9099999665E-0005	Liquid	1	
298.15	15800.000	2.76000009762E-0005	Liquid	1	
298.15	24000.000	2.66999995802E-0005	Liquid	1	
323.15	100.000	4.540000009E-0005	Liquid	1	
323.15	7800.000	4.09000022046E-0005	Liquid	1	
323.15	15800.000	3.83000005968E-0005	Liquid	1	
323.15	24200.000	3.64000006812E-0005	Liquid	1	
348.15	100.000	5.95999990765E-0005	Liquid	1	
348.15	8100.000	0.000053	Liquid	1	
348.15	15800.000	5.04000017827E-0005	Liquid	1	
348.15	24500.000	4.78000001749E-0005	Liquid	1	
Number	Source	
1	Awan M.A.; Dymond J.H.: XI. Mutual Diffusion Coefficients for Toluene + n-Hexane and Toluene + Acetonitrile at Temperatures from 273 to 348 K and at Pressures up to 25 MPa. Int.J.Thermophys. 22 (2001) 679-700	
$$$Dynamic Viscosity	
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference	
233.15		0.8310	Liquid	1	
243.15		0.7050	Liquid	1	
253.15		0.5920	Liquid	1	
263.15		0.5120	Liquid	1	
273.15		0.4610	Liquid	1	
278.00		0.4190	Liquid	3	
