Formula	Molar Mass	CAS Registry Number	Name
H2O	18.015	7732-18-5	Water
$$$Compressibility (isentropic)
T [K]	Compressibility (isentropic) [/kPa]	State	Reference
298.15	4.44600004812E-007	Liquid	1
Number	Source
1	Ramkumar D.H.S.; Kudchadker A.P.: 1. Densities of gamma-Butyrolactone + Water at 303.15 - 343.15 K and of Tetrahydrofuran + gamma-Butyrolactone at 278.15 - 298.15 K; Ultrasonic Velocities at 298.15 K for the Three Binary Systems Inclusive of Tetrahydrofurane + Water and the Ternary System Tetrahydrofuran + Water + gamma-Butyrolactone. J.Chem.Eng.Data 34 (1989) 459-463
$$$Compressibility (isothermal)
T [K]	P [kPa]	Compressibility (isothermal) [/kPa]	State	Reference
293.20		4.63600002831E-007	Liquid	1
298.15	100.000	4.5030000706E-007	Liquid	2
298.15	20000.000	4.32500002034E-007	Liquid	2
298.15	40000.000	4.12999980881E-007	Liquid	2
298.15	60000.000	3.92999993437E-007	Liquid	2
298.15	80000.000	3.74199998987E-007	Liquid	2
298.15	100000.000	3.57499999382E-007	Liquid	2
298.15	120000.000	3.42899994621E-007	Liquid	2
298.15	140000.000	3.2540000916E-007	Liquid	2
298.15	160000.000	3.16399990652E-007	Liquid	2
298.15	180000.000	3.03700005588E-007	Liquid	2
298.15	200000.000	2.92700008231E-007	Liquid	2
298.15	220000.000	2.82900003867E-007	Liquid	2
298.15	240000.000	2.73399990647E-007	Liquid	2
298.15	260000.000	2.6440000056E-007	Liquid	2
298.15	280000.000	2.56699991041E-007	Liquid	2
298.15	300000.000	2.4780001695E-007	Liquid	2
298.15	320000.000	2.40100007431E-007	Liquid	2
298.15	340000.000	2.32600001482E-007	Liquid	2
298.15	360000.000	2.26600008091E-007	Liquid	2
298.15	380000.000	2.20900005843E-007	Liquid	2
298.15	400000.000	2.15400007164E-007	Liquid	2
298.15	420000.000	2.09800006701E-007	Liquid	2
298.15	440000.000	2.03900000884E-007	Liquid	2
298.15	460000.000	1.9940000584E-007	Liquid	2
298.15	480000.000	1.94500003659E-007	Liquid	2
298.15	500000.000	1.89999994404E-007	Liquid	2
298.15	520000.000	1.85999994073E-007	Liquid	2
298.15	540000.000	1.81399997246E-007	Liquid	2
298.15	560000.000	1.78100009407E-007	Liquid	2
298.15	580000.000	1.73900005507E-007	Liquid	2
298.15	600000.000	1.70700005242E-007	Liquid	2
298.15	620000.000	1.67300001408E-007	Liquid	2
298.15	640000.000	1.63500004646E-007	Liquid	2
298.15	660000.000	1.60799999094E-007	Liquid	2
298.15	680000.000	1.58100007752E-007	Liquid	2
298.15	700000.000	1.55300000415E-007	Liquid	2
298.15	720000.000	1.52400005504E-007	Liquid	2
298.15	740000.000	1.49499996382E-007	Liquid	2
298.15	760000.000	1.46800005041E-007	Liquid	2
298.15	780000.000	1.44400004842E-007	Liquid	2
298.15	800000.000	1.42200008213E-007	Liquid	2
303.15	100.000	4.49400005209E-007	Liquid	2
303.15	20000.000	4.27299994499E-007	Liquid	2
303.15	40000.000	4.07599998198E-007	Liquid	2
303.15	60000.000	3.80900019081E-007	Liquid	2
303.15	80000.000	3.7160000943E-007	Liquid	2
303.15	100000.000	3.54900009825E-007	Liquid	2
303.15	120000.000	3.39999985499E-007	Liquid	2
303.15	140000.000	3.2650001458E-007	Liquid	2
303.15	160000.000	3.14099992238E-007	Liquid	2
303.15	180000.000	3.0199998946E-007	Liquid	2
303.15	200000.000	2.90999992103E-007	Liquid	2
303.15	220000.000	2.91100008099E-007	Liquid	2
303.15	240000.000	2.72100010079E-007	Liquid	2
303.15	260000.000	2.63099991571E-007	Liquid	2
303.15	280000.000	2.64699991703E-007	Liquid	2
303.15	300000.000	2.47099990247E-007	Liquid	2
303.15	320000.000	2.39299993154E-007	Liquid	2
303.15	340000.000	2.32600001482E-007	Liquid	2
303.15	360000.000	2.25800008025E-007	Liquid	2
303.15	380000.000	2.20499998704E-007	Liquid	2
303.15	400000.000	2.14300001744E-007	Liquid	2
303.15	420000.000	2.08999992424E-007	Liquid	2
303.15	440000.000	2.03699997314E-007	Liquid	2
303.15	460000.000	1.98800009343E-007	Liquid	2
303.15	480000.000	1.94800009012E-007	Liquid	2
303.15	500000.000	1.88499996057E-007	Liquid	2
303.15	520000.000	1.85399997576E-007	Liquid	2
303.15	540000.000	1.80900002533E-007	Liquid	2
303.15	560000.000	1.77399996915E-007	Liquid	2
303.15	580000.000	1.74400000219E-007	Liquid	2
303.15	600000.000	1.70399999888E-007	Liquid	2
303.15	620000.000	1.67400003193E-007	Liquid	2
303.15	640000.000	1.64500008282E-007	Liquid	2
303.15	660000.000	1.60999988452E-007	Liquid	2
303.15	680000.000	1.57599998829E-007	Liquid	2
303.15	700000.000	1.54500000349E-007	Liquid	2
303.15	720000.000	1.52200001935E-007	Liquid	2
303.15	740000.000	1.50399998233E-007	Liquid	2
303.15	760000.000	1.47700006892E-007	Liquid	2
303.15	780000.000	1.44400004842E-007	Liquid	2
303.15	800000.000	1.40600008081E-007	Liquid	2
303.20		4.48799994501E-007	Liquid	1
313.15	100.000	4.43200008249E-007	Liquid	2
313.15	20000.000	4.2290000124E-007	Liquid	2
313.15	40000.000	4.02900013796E-007	Liquid	2
313.15	60000.000	3.83700012208E-007	Liquid	2
313.15	80000.000	3.66600005464E-007	Liquid	2
313.15	100000.000	3.59799997796E-007	Liquid	2
313.15	120000.000	3.36299990522E-007	Liquid	2
313.15	140000.000	3.33900004534E-007	Liquid	2
313.15	160000.000	3.11099995542E-007	Liquid	2
313.15	180000.000	3.00099998185E-007	Liquid	2
313.15	200000.000	2.88600006115E-007	Liquid	2
313.15	220000.000	2.79299996464E-007	Liquid	2
313.15	240000.000	2.70399993951E-007	Liquid	2
313.15	260000.000	2.61400003865E-007	Liquid	2
313.15	280000.000	2.53300015629E-007	Liquid	2
313.15	300000.000	2.44999995402E-007	Liquid	2
313.15	320000.000	2.3389999626E-007	Liquid	2
313.15	340000.000	2.31400008488E-007	Liquid	2
313.15	360000.000	2.25500002671E-007	Liquid	2
313.15	380000.000	2.20100005777E-007	Liquid	2
313.15	400000.000	2.1399999639E-007	Liquid	2
313.15	420000.000	2.08599999496E-007	Liquid	2
313.15	440000.000	2.03300004387E-007	Liquid	2
313.15	460000.000	1.98899996917E-007	Liquid	2
313.15	480000.000	1.9409999652E-007	Liquid	2
313.15	500000.000	1.90199997974E-007	Liquid	2
313.15	520000.000	1.85399997576E-007	Liquid	2
313.15	540000.000	1.81700002599E-007	Liquid	2
313.15	560000.000	1.77100005772E-007	Liquid	2
313.15	580000.000	1.73800003722E-007	Liquid	2
313.15	600000.000	1.70700005242E-007	Liquid	2
313.15	620000.000	1.67199999623E-007	Liquid	2
313.15	640000.000	1.64300004712E-007	Liquid	2
313.15	660000.000	1.60699997309E-007	Liquid	2
313.15	680000.000	1.57900004183E-007	Liquid	2
313.15	700000.000	1.55099996846E-007	Liquid	2
313.15	720000.000	1.52699996647E-007	Liquid	2
313.15	740000.000	1.50900007156E-007	Liquid	2
313.15	760000.000	1.47600005107E-007	Liquid	2
313.15	780000.000	1.45400008478E-007	Liquid	2
313.15	800000.000	1.43400001207E-007	Liquid	2
313.20		4.39100006133E-007	Liquid	1
323.15	100.000	4.42300006398E-007	Liquid	2
323.15	20000.000	4.21300001108E-007	Liquid	2
323.15	40000.000	4.00999994099E-007	Liquid	2
323.15	60000.000	3.82199999649E-007	Liquid	2
323.15	80000.000	3.65099992905E-007	Liquid	2
323.15	100000.000	3.49400011146E-007	Liquid	2
323.15	120000.000	3.35900011805E-007	Liquid	2
323.15	140000.000	3.22900007177E-007	Liquid	2
323.15	160000.000	3.10199993692E-007	Liquid	2
323.15	180000.000	2.97900015767E-007	Liquid	2
323.15	200000.000	2.87600016691E-007	Liquid	2
323.15	220000.000	2.78900017747E-007	Liquid	2
323.15	240000.000	2.69899999239E-007	Liquid	2
323.15	260000.000	2.61100012722E-007	Liquid	2
323.15	280000.000	2.52400013778E-007	Liquid	2
323.15	300000.000	2.46300004392E-007	Liquid	2
323.15	320000.000	2.39200005581E-007	Liquid	2
323.15	340000.000	2.31800001416E-007	Liquid	2
323.15	360000.000	2.24900006174E-007	Liquid	2
323.15	380000.000	2.18300002075E-007	Liquid	2
323.15	400000.000	2.13800007032E-007	Liquid	2
323.15	420000.000	2.08700001281E-007	Liquid	2
323.15	440000.000	2.03500007956E-007	Liquid	2
323.15	460000.000	1.9830000042E-007	Liquid	2
323.15	480000.000	1.94400001874E-007	Liquid	2
323.15	500000.000	1.90199997974E-007	Liquid	2
323.15	520000.000	1.86700006566E-007	Liquid	2
323.15	540000.000	1.81700002599E-007	Liquid	2
323.15	560000.000	1.77700002268E-007	Liquid	2
323.15	580000.000	1.74299998434E-007	Liquid	2
323.15	600000.000	1.70600003457E-007	Liquid	2
323.15	620000.000	1.67500004977E-007	Liquid	2
323.15	640000.000	1.63999999359E-007	Liquid	2
323.15	660000.000	1.61399995591E-007	Liquid	2
323.15	680000.000	1.58900007818E-007	Liquid	2
323.15	700000.000	1.55500003984E-007	Liquid	2
323.15	720000.000	1.5320000557E-007	Liquid	2
323.15	740000.000	1.50700003587E-007	Liquid	2
323.15	760000.000	1.48099999819E-007	Liquid	2
323.15	780000.000	1.45499996052E-007	Liquid	2
323.15	800000.000	1.42900006495E-007	Liquid	2
323.20		4.33800011024E-007	Liquid	1
333.15	100.000	4.48400015785E-007	Liquid	2
333.15	20000.000	4.24299997803E-007	Liquid	2
333.15	40000.000	4.02799997801E-007	Liquid	2
333.15	60000.000	3.85500015909E-007	Liquid	2
333.15	80000.000	3.65999994756E-007	Liquid	2
333.15	100000.000	3.50100009427E-007	Liquid	2
333.15	120000.000	3.35599992241E-007	Liquid	2
333.15	140000.000	3.21900017752E-007	Liquid	2
333.15	160000.000	3.10500013256E-007	Liquid	2
333.15	180000.000	2.99500015899E-007	Liquid	2
333.15	200000.000	2.88800009685E-007	Liquid	2
333.15	220000.000	2.79299996464E-007	Liquid	2
333.15	240000.000	2.70599997521E-007	Liquid	2
333.15	260000.000	2.61300016291E-007	Liquid	2
333.15	280000.000	2.53199999634E-007	Liquid	2
333.15	300000.000	2.45800009679E-007	Liquid	2
333.15	320000.000	2.39800016288E-007	Liquid	2
333.15	340000.000	2.32499999697E-007	Liquid	2
333.15	360000.000	2.2570000624E-007	Liquid	2
333.15	380000.000	2.19699998638E-007	Liquid	2
333.15	400000.000	2.14199999959E-007	Liquid	2
333.15	420000.000	2.0890000485E-007	Liquid	2
333.15	440000.000	2.04300008022E-007	Liquid	2
333.15	460000.000	1.99300004056E-007	Liquid	2
333.15	480000.000	1.94400001874E-007	Liquid	2
333.15	500000.000	1.91500006963E-007	Liquid	2
333.15	520000.000	1.86700006566E-007	Liquid	2
333.15	540000.000	1.82999997378E-007	Liquid	2
333.15	560000.000	1.78299998765E-007	Liquid	2
333.15	580000.000	1.74900009142E-007	Liquid	2
333.15	600000.000	1.72100001805E-007	Liquid	2
333.15	620000.000	1.67500004977E-007	Liquid	2
333.15	640000.000	1.64599995855E-007	Liquid	2
333.15	660000.000	1.61499997375E-007	Liquid	2
333.15	680000.000	1.59099997177E-007	Liquid	2
333.15	700000.000	1.57300007686E-007	Liquid	2
333.15	720000.000	1.53800002067E-007	Liquid	2
333.15	740000.000	1.50299996449E-007	Liquid	2
333.15	760000.000	1.48099999819E-007	Liquid	2
333.15	780000.000	1.45599997836E-007	Liquid	2
333.15	800000.000	1.43299999422E-007	Liquid	2
Number	Source
1	Technische Hochschule Carl Schorlemmer Leuna-Merseburg, Merseburg (GDR): Unpublished data. Unpublished Data  (1989) 1-360
2	Brostow W.; Grindley T.; Macip M.A.: Experimental Data and Prediction of Compressibility. Mater.Chem.Phys. 12 (1985) 37-97
$$$Compressibility Factor (isothermal)
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference
423.15	49.040	0.9955	Vapor	1
423.15	52.850	0.9953	Vapor	1
423.15	74.990	0.9934	Vapor	1
423.15	80.230	0.9927	Vapor	1
423.15	86.470	0.9924	Vapor	1
423.15	122.510	0.9892	Vapor	1
423.15	131.050	0.9882	Vapor	1
423.15	141.190	0.9876	Vapor	1
423.15	199.630	0.9824	Vapor	1
423.15	213.470	0.981	Vapor	1
423.15	229.840	0.980	Vapor	1
423.15	323.890	0.9715	Vapor	1
423.15	346.200	0.9697	Vapor	1
423.15	372.300	0.9674	Vapor	1
473.15	56.010	0.9967	Vapor	1
473.15	91.730	0.9949	Vapor	1
473.15	120.270	0.9931	Vapor	1
473.15	150.030	0.9918	Vapor	1
473.15	162.320	0.9908	Vapor	1
473.15	196.500	0.989	Vapor	1
473.15	244.870	0.9866	Vapor	1
473.15	264.860	0.9854	Vapor	1
473.15	320.140	0.982	Vapor	1
473.15	398.280	0.9781	Vapor	1
473.15	430.520	0.9762	Vapor	1
473.15	519.250	0.9708	Vapor	1
473.15	644.200	0.9643	Vapor	1
473.15	695.470	0.9612	Vapor	1
473.15	836.050	0.9527	Vapor	1
473.15	1031.390	0.941	Vapor	1
473.15	1110.720	0.9357	Vapor	1
473.15	1327.030	0.9217	Vapor	1
523.15	66.050	0.9979	Vapor	1
523.15	108.690	0.9964	Vapor	1
523.15	144.380	0.9947	Vapor	1
523.15	178.670	0.9938	Vapor	1
523.15	216.550	0.9922	Vapor	1
523.15	237.160	0.9914	Vapor	1
523.15	293.210	0.9895	Vapor	1
523.15	355.050	0.987	Vapor	1
523.15	388.720	0.986	Vapor	1
523.15	479.820	0.9825	Vapor	1
523.15	580.320	0.9789	Vapor	1
523.15	634.860	0.977	Vapor	1
523.15	781.620	0.9711	Vapor	1
523.15	943.610	0.9658	Vapor	1
523.15	1030.940	0.9627	Vapor	1
523.15	1263.830	0.9528	Vapor	1
523.15	1518.830	0.9432	Vapor	1
523.15	1655.450	0.938	Vapor	1
523.15	2014.770	0.9216	Vapor	1
523.15	2400.970	0.9047	Vapor	1
523.15	2604.550	0.8954	Vapor	1
523.15	3135.160	0.8701	Vapor	1
523.15	3682.600	0.842	Vapor	1
Number	Source
1	Ellerwald M.: Experimentelle Untersuchungen zum Druck-Volumen-Temperatur-Verhalten gasförmiger Wasser-Ammoniak-Gemische. Thesis  (1981)
$$$Critical Data
T [K]	P [kPa]	State	Reference
647.06	22045.000	Critical Point	5
647.14	22064.000	Critical Point	2
647.15		Critical Point	3
647.30	22129.000	Critical Point	4
647.36		Critical Point	1
647.77	22060.000	Critical Point	6
Number	Source
1	Amirkhanov Kh.I.; Kerimov A.M.: Investigation of Heat Capacity on Constant Volume of Water and Water Vapour along Saturation Line including Critical Point by Direct Method. Teploenergetika  (1963) 64-69
2	Saul A.; Wagner W.: International Equations for the Saturation Properties of Ordinary Water Substance. J.Phys.Chem.Ref.Data 16 (1987) 893-901
3	Ravikovich S.D.; Solomko V.P.: Study of Viscosity and Critical Temperatures of Deuterium Compounds and Their Mixtures. Ukr.Khim.Zh.(Russ.Ed.) 24 (1958) 7-12
4	Osborne N.S.; Stimson H.F.; Ginnings D.C.: Thermal Properties of Saturated Water and Steam. J.Res. NBS 23 (1939) 261-270
5	Blank G.: New determination of the critical point of water and heavy water. (Ger). Wärme Stoffübertrag. 2 (1969) 53-59
6	Holborn L.; Baumann A.: Über den Sättigungsdruck des Wasserdampfes oberhalb 200°. Ann.Physik 336 (1910) 945-970
$$$Density
T [K]	P [kPa]	Density [kg/m3]	State	Reference
293.15	98.066	998.200	Liquid	2
293.15	82375.898	1032.800	Liquid	2
293.15	128467.000	1050.100	Liquid	2
293.15	178971.000	1067.400	Liquid	2
293.15	233889.000	1084.700	Liquid	2
293.15	293709.000	1102.000	Liquid	2
293.15	346175.000	1116.200	Liquid	2
293.15	359414.000	1119.300	Liquid	2
293.15	416292.000	1133.700	Liquid	2
293.15	429531.000	1136.700	Liquid	2
293.15	490332.000	1151.200	Liquid	2
293.15	507004.000	1154.100	Liquid	2
293.15	577612.000	1170.100	Liquid	2
293.15	590360.000	1171.600	Liquid	2
293.15	666362.000	1186.800	Liquid	2
293.15	667833.000	1186.800	Liquid	2
293.15	764919.000	1204.600	Liquid	2
293.15	766390.000	1204.600	Liquid	2
293.15	872792.000	1222.400	Liquid	2
298.15		997.100	Liquid	1
308.15		994.100	Liquid	1
308.15	98.066	994.060	Liquid	2
308.15	159848.000	1054.400	Liquid	2
308.15	217217.000	1071.900	Liquid	2
308.15	275077.000	1089.300	Liquid	2
308.15	340291.000	1106.700	Liquid	2
308.15	363336.000	1111.800	Liquid	2
308.15	410408.000	1124.200	Liquid	2
308.15	436886.000	1129.800	Liquid	2
308.15	493274.000	1141.800	Liquid	2
308.15	514849.000	1147.400	Liquid	2
308.15	515830.000	1147.400	Liquid	2
308.15	602128.000	1165.200	Liquid	2
308.15	694801.000	1182.900	Liquid	2
308.15	794829.000	1200.800	Liquid	2
308.15	904663.000	1218.700	Liquid	2
323.15		988.100	Liquid	1
323.15	98.066	988.080	Liquid	2
323.15	158868.000	1048.000	Liquid	2
323.15	215746.000	1065.400	Liquid	2
323.15	276548.000	1082.900	Liquid	2
323.15	342252.000	1100.300	Liquid	2
323.15	364317.000	1106.100	Liquid	2
323.15	413841.000	1117.800	Liquid	2
323.15	438357.000	1123.700	Liquid	2
323.15	503571.000	1139.500	Liquid	2
323.15	519752.000	1141.400	Liquid	2
323.15	588399.000	1157.200	Liquid	2
323.15	607032.000	1159.100	Liquid	2
323.15	680091.000	1175.000	Liquid	2
323.15	781100.000	1192.900	Liquid	2
323.15	879656.000	1210.700	Liquid	2
