Formula	Molar Mass	CAS Registry Number	Name
C4H10O	74.123	60-29-7	Diethyl ether
$$$Critical Data
T [K]	P [kPa]	State	Reference
463.37		Critical Point	1
466.73		Critical Point	5
466.74	3637.600	Critical Point	3
466.75		Critical Point	6
467.40		Critical Point	2
467.55		Critical Point	4
Number	Source
1	Audant M.: Contribution to the Study on the Critical State of Ethyl Ether. C.R.Hebd.Seanc.Acad.Sci.Paris 170 (1920) 1573-1575
2	Rätzsch M.: Kritische Temperaturen binärer Systeme. Z.Phys.Chem.(Leipzig) 243 (1970) 212-220
3	Ambrose D.; Sprake C.H.S.; Townsend R.: XXIX. The Vapour Pressure of Diethyl Ether. J.Chem.Thermodyn. 4 (1972) 247-254
4	Centnerszwer M.: Determination of the critical volumes using the method of Cailletet and Mathias. (Ger). Z.Phys.Chem.(Leipzig) 46 (1903) 199-207
5	Young F.B.: Critical phenomena at ether. (Ger). Chem.Zentralbl. 2 (1910) 1854-1854
6	Travers M.W.; Usher F.L.: Behaviour of some substances at critical temperature. (Ger). Chem.Zentralbl. 2 (1907) 4-5
$$$Density
T [K]	P [kPa]	Density [kg/m3]	State	Reference
296.71	101.000	713.200	Liquid	1
296.71	4910.000	716.900	Liquid	1
296.71	9810.000	723.600	Liquid	1
296.71	19620.000	731.000	Liquid	1
296.71	29430.000	739.100	Liquid	1
296.71	39240.000	743.400	Liquid	1
296.71	49050.000	747.900	Liquid	1
296.71	58860.000	753.500	Liquid	1
296.71	68810.000	763.200	Liquid	1
296.71	78480.000	766.000	Liquid	1
296.71	88290.000	771.000	Liquid	1
296.71	98100.000	777.000	Liquid	1
319.61	101.000	688.100	Liquid	1
319.61	4910.000	696.300	Liquid	1
319.61	9810.000	703.400	Liquid	1
319.61	19620.000	711.200	Liquid	1
319.61	29430.000	719.400	Liquid	1
319.61	39240.000	725.000	Liquid	1
319.61	49050.000	728.600	Liquid	1
319.61	58860.000	734.000	Liquid	1
319.61	68810.000	742.000	Liquid	1
319.61	78480.000	746.100	Liquid	1
319.61	88290.000	749.400	Liquid	1
319.61	98100.000	761.500	Liquid	1
341.22	4910.000	676.600	Liquid	1
341.22	9810.000	683.500	Liquid	1
341.22	19620.000	691.000	Liquid	1
341.22	29430.000	698.300	Liquid	1
341.22	39240.000	705.400	Liquid	1
341.22	49050.000	710.000	Liquid	1
341.22	58860.000	716.300	Liquid	1
341.22	68810.000	723.900	Liquid	1
341.22	78480.000	728.000	Liquid	1
341.22	88290.000	731.500	Liquid	1
341.22	98100.000	741.200	Liquid	1
368.35	4910.000	653.400	Liquid	1
368.35	9810.000	660.100	Liquid	1
368.35	19620.000	670.400	Liquid	1
368.35	29430.000	675.900	Liquid	1
368.35	39240.000	683.700	Liquid	1
368.35	49050.000	688.600	Liquid	1
368.35	58860.000	694.100	Liquid	1
368.35	68810.000	701.000	Liquid	1
368.35	78480.000	705.400	Liquid	1
368.35	88290.000	710.000	Liquid	1
368.35	98100.000	719.200	Liquid	1
389.75	4910.000	631.700	Liquid	1
389.75	9810.000	640.300	Liquid	1
389.75	19620.000	650.800	Liquid	1
389.75	29430.000	657.500	Liquid	1
389.75	39240.000	666.300	Liquid	1
389.75	49050.000	671.500	Liquid	1
389.75	58860.000	676.800	Liquid	1
389.75	68810.000	683.300	Liquid	1
389.75	78480.000	688.300	Liquid	1
389.75	88290.000	693.500	Liquid	1
389.75	98100.000	702.400	Liquid	1
416.18	4910.000	608.500	Liquid	1
416.18	9810.000	615.700	Liquid	1
416.18	19620.000	627.500	Liquid	1
416.18	29430.000	635.500	Liquid	1
416.18	39240.000	643.500	Liquid	1
416.18	49050.000	648.900	Liquid	1
416.18	58860.000	654.000	Liquid	1
416.18	68810.000	659.300	Liquid	1
416.18	78480.000	665.300	Liquid	1
416.18	88290.000	673.200	Liquid	1
416.18	98100.000	682.000	Liquid	1
Number	Source
1	Safarov M.M.; Madzhidov Kh.; Asoev R.Sh.: Zusammenfassende Zustandsgleichung von flüssigen Ätheren. Zh.Fiz.Khim. 66 (1992) 2595-2603
$$$Dielectric Constant
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference
171.00		9.87000	Liquid	2
190.00		8.30000	Liquid	2
220.00		6.59000	Liquid	2
257.00		5.28000	Liquid	2
278.15		4.65000	Liquid	4
283.15		4.53000	Liquid	4
288.15		4.43000	Liquid	4
293.15		4.20000	Liquid	3
293.15		4.24000	Liquid	5
293.15		4.33500	Liquid	4
293.15	98.066	4.32800	Liquid	6
293.15	49033.199	4.79000	Liquid	6
293.15	98066.500	5.14200	Liquid	6
293.15	147100.000	5.42800	Liquid	6
293.15	196133.000	5.66800	Liquid	6
293.15	245166.000	5.88000	Liquid	6
293.15	294200.000	6.07100	Liquid	6
296.00		4.30000	Liquid	2
298.15		4.25000	Liquid	4
303.15	98.066	4.17000	Liquid	1
303.15	98.066	4.18000	Liquid	1
303.15	93163.203	4.84000	Liquid	1
303.15	165732.000	5.19000	Liquid	1
303.15	224082.000	5.39000	Liquid	1
303.15	282432.000	5.59000	Liquid	1
303.15	330974.000	5.79000	Liquid	1
303.15	371672.000	5.88000	Liquid	1
303.15	401092.000	5.94000	Liquid	1
303.15	468758.000	6.14000	Liquid	1
Number	Source
1	Skinner J.F.; Cussler E.L.; Fuoss R.M.: Pressure Dependence of Dielectric Constant and Density of Liquids.. J.Phys.Chem. 72 (1968) 1057-1064
2	Gee N.; Shinsaka K.; Dodelet J.-P.; Freeman G.R.: Dielectric Constant Against Temperature for 43 Liquids. J.Chem.Thermodyn. 18 (1986) 221-234
3	Wollmann H.; Skaletzki B.; Schaaf A.: 14. Mitteilung: Beiträge zur Problematik des Einsatzes von Kunststoffbehältern für flüssige Arzneizubereitungen. Pharmazie 29 (1974) 708-711
4	Ulich H.; Nespital W.: Beschreibung einer kristallgesteuerten Resonanzapparatur. Z.Phys.Chem.Abt.B 16 (1932) 221-233
5	Moll W.L.H.: Dielectrical Study of the Effect of Organic Solvent on High-Molecular Substances. Kolloid Beih. 49 (1939) 1-74
6	Kyropoulos S.: Die Druckabhängigkeit der Dielektrizitätskonstante einiger Flüssigkeiten bis zu 3000kg/cm2. Z.Phys. (Berlin) 40 (1926) 507-520
$$$Dipole Moment
T [K]	Dipole Moment [Debye]	State	Reference
	1.4500	Liquid	1
Number	Source
1	Kramer K.D.; Mueller-Warmuth W.; Roth N.: Molecular motion in liquids and solutions. I. Nuclear-electron double resonance. Viscosity and dielectric relaxation in ether and diethoxyethane. (Ger). Z.Naturforsch.A 20 (1965) 1391-1400
$$$Dynamic Viscosity
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference
273.15		0.2880	Liquid	3
275.55		0.2871	Liquid	5
280.55		0.2687	Liquid	5
280.75		0.2655	Liquid	5
281.55		0.2583	Liquid	5
288.95		0.2502	Liquid	5
289.95		0.2401	Liquid	5
289.95		0.2435	Liquid	5
291.55		0.2392	Liquid	5
291.85		0.2386	Liquid	5
292.75		0.2371	Liquid	5
293.15		0.2300	Liquid	1
293.15		0.2500	Liquid	2
298.15		0.2240	Liquid	3
298.15		0.2400	Liquid	2
302.35		0.2180	Liquid	5
303.15		0.2100	Liquid	1
303.15	98.066	0.2110	Liquid	4
303.15	98066.500	0.4470	Liquid	4
303.15	196133.000	0.6900	Liquid	4
303.15	294200.000	0.9700	Liquid	4
303.15	392266.000	1.3100	Liquid	4
303.15	490332.000	1.7900	Liquid	4
303.75		0.2132	Liquid	5
304.45		0.2132	Liquid	5
311.15		0.1960	Superheated Liquid	1
313.15		0.1920	Superheated Liquid	1
316.15		0.1870	Superheated Liquid	1
320.25		0.1839	Liquid	5
320.25		0.1857	Liquid	5
320.35		0.1870	Liquid	5
323.15		0.1760	Superheated Liquid	1
326.15		0.1720	Superheated Liquid	1
333.15		0.1630	Superheated Liquid	1
336.15		0.1590	Superheated Liquid	1
336.65		0.1626	Liquid	5
336.95		0.1610	Liquid	5
338.15		0.1540	Superheated Liquid	1
343.15		0.1500	Superheated Liquid	1
346.15		0.1450	Superheated Liquid	1
348.15		0.1430	Superheated Liquid	1
350.15		0.1410	Superheated Liquid	1
351.65		0.1413	Liquid	5
351.65		0.1428	Liquid	5
351.85		0.1413	Liquid	5
353.15		0.1340	Superheated Liquid	1
356.15		0.1320	Superheated Liquid	1
358.45		0.1310	Superheated Liquid	1
363.15		0.1250	Superheated Liquid	1
367.65		0.1200	Superheated Liquid	1
368.15		0.1190	Superheated Liquid	1
372.35		0.1181	Liquid	5
373.55		0.1177	Liquid	5
Number	Source
1	Bulanov N.V.; Skripov V.P.: Viskosität von Flüssigkeiten im metastabil (überhitzten) Zustand. Teplofiz.Vys.Temp. 12 (1974) 1184-1187
2	Lutskii A.E.; Obukhova E.M.: I. Viskosität von flüssigen binären Mischungen. Zh.Fiz.Khim. 31 (1957) 1693-1703
3	Sakhanov A.N.; Ryakhovskii N.A.: Viskosität von flüssigen Mischungen. Zh.Russ.Fiz.Khim.Obshch.Khim. 46 (1914) 78-88
4	Skinner J.F.; Fuoss R.M.: Effect of pressure on conductance. I. Tetraisoamylammonium picrate indiethyl ether and in benzene.. J.Phys.Chem. 69 (1965) 1437-1443
5	Heydweiller A.: Die innere Reibung einiger Flüssigkeiten oberhalb ihres Siedepunktes. Ann.Physik 295 (1896) 193-212
$$$Entropy
T [K]	Molar Entropy [J/(mol*K)]	State	Reference
298.00	342.20	Vapor	2
298.00	342.67	Vapor	1
Number	Source
1	Chao J.; Hall K.R.; Marsh K.N.; Wilhoit R.C.: Thermodynamic properties of key organic oxygen compounds in the carbon range C1 to C4. Part 2. Ideal gas properties.. J.Phys.Chem.Ref.Data 15 (1986) 1369-1436
