Formula	Molar Mass	CAS Registry Number	Name	
N2	28.013	7727-37-9	Nitrogen	
$$$Compressibility Factor (isothermal)	
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference	
399.30	557.094	1.001	Vapor	1	
399.30	839.089	1.003	Vapor	1	
399.30	1265.180	1.005	Vapor	1	
399.30	1909.840	1.009	Vapor	1	
399.30	2880.620	1.011	Vapor	1	
399.30	4387.810	1.019	Vapor	1	
399.30	6632.730	1.029	Vapor	1	
399.30	10149.000	1.046	Vapor	1	
399.30	15713.101	1.078	Vapor	1	
399.30	24972.701	1.138	Vapor	1	
Number	Source	
1	Watson G.M.; Stevens A.B.; Evans R.B.; Hodges Jr. D.: Compressibility Factors of Nitrogen-Propane Mixtures in the Gas Phase. Ind.Eng.Chem. 46 (1954) 362-364	
$$$Critical Data	
T [K]	P [kPa]	State	Reference	
126.15	3362.100	Critical Point	4	
126.20		Critical Point	5	
126.25		Critical Point	3	
126.26	3398.400	Critical Point	6	
127.15	3550.000	Critical Point	2	
128.15	3550.000	Critical Point	1	
Number	Source	
1	Olszewski C.: On the Liquefaction of Gases. London Edinb.Dub.Philos.Mag.J.Sci. 39 (1895) 188-212	
2	Olszewski K.: Températures d'ébullition de l'azote et de l'éthylène sous de faibles pressions. C.R.Hebd.Seanc.Acad.Sci.Paris 99 (1884) 133-136	
3	Terry M.J.; Lynch J.T.; Bunclark M.; Mansell K.R.; Staveley L.A.K.: The Densities of Liquid Argon, Krypton, Xenon, Oxygen, Nitrogen, Carbon Monoxide, Methane, and Carbon Tetrafluoride Along the Orthobaric Liquid Curve.. J.Chem.Thermodyn. 1 (1969) 413-424	
4	Friedman A.S.; White D.: The vapor pressure of liquid nitrogen.. J.Am.Chem.Soc. 72 (1950) 3931-3932	
5	Jones I.W.; Rowlinson J.S.: Part 2. Trans.Faraday Soc. 59 (1963) 1702-1708	
6	White D.; Friedman A.S.; Johnston H.L.: The critical temperature and critical pressure of nitrogen.. J.Am.Chem.Soc. 73 (1951) 5713-5715	
$$$Density	
T [K]	P [kPa]	Density [kg/m3]	State	Reference	
294.65	151988.000	668.018	Vapor	1	
294.65	202650.000	733.246	Vapor	1	
294.65	253312.000	779.788	Vapor	1	
294.65	303975.000	818.288	Vapor	1	
294.65	354638.000	851.109	Vapor	1	
294.65	405300.000	880.264	Vapor	1	
294.65	455962.000	907.353	Vapor	1	
294.65	506625.000	933.667	Vapor	1	
294.65	557288.000	954.019	Vapor	1	
294.65	607950.000	977.661	Vapor	1	
294.65	658612.000	997.152	Vapor	1	
453.15	151988.000	542.829	Vapor	1	
453.15	202650.000	612.910	Vapor	1	
453.15	253312.000	665.321	Vapor	1	
453.15	303975.000	710.733	Vapor	1	
453.15	354638.000	749.732	Vapor	1	
453.15	405300.000	783.935	Vapor	1	
453.15	455962.000	814.244	Vapor	1	
453.15	506625.000	840.636	Vapor	1	
473.15	151988.000	525.220	Vapor	1	
473.15	202650.000	597.228	Vapor	1	
473.15	253312.000	651.395	Vapor	1	
473.15	303975.000	699.027	Vapor	1	
473.15	354638.000	738.855	Vapor	1	
473.15	405300.000	773.116	Vapor	1	
473.15	455962.000	803.730	Vapor	1	
473.15	506625.000	831.651	Vapor	1	
473.15	557288.000	856.313	Vapor	1	
473.15	607950.000	879.159	Vapor	1	
473.15	658612.000	900.354	Vapor	1	
473.15	709275.000	920.171	Vapor	1	
473.15	759938.000	937.730	Vapor	1	
473.15	810600.000	954.669	Vapor	1	
573.15	151988.000	470.994	Vapor	1	
573.15	202650.000	545.472	Vapor	1	
573.15	253312.000	601.589	Vapor	1	
573.15	303975.000	649.432	Vapor	1	
573.15	354638.000	688.883	Vapor	1	
573.15	405300.000	722.839	Vapor	1	
573.15	455962.000	752.957	Vapor	1	
573.15	506625.000	779.788	Vapor	1	
573.15	557288.000	803.500	Vapor	1	
573.15	607950.000	828.698	Vapor	1	
573.15	658612.000	850.076	Vapor	1	
573.15	709275.000	872.314	Vapor	1	
573.15	759938.000	891.187	Vapor	1	
573.15	810600.000	909.120	Vapor	1	
573.15	861262.000	925.033	Vapor	1	
573.15	911925.000	940.248	Vapor	1	
573.15	962588.000	954.019	Vapor	1	
573.15	1013250.000	966.529	Vapor	1	
673.15	151988.000	426.527	Vapor	1	
673.15	202650.000	500.179	Vapor	1	
673.15	253312.000	555.313	Vapor	1	
673.15	303975.000	604.576	Vapor	1	
673.15	354638.000	643.760	Vapor	1	
673.15	405300.000	678.208	Vapor	1	
673.15	455962.000	708.576	Vapor	1	
673.15	506625.000	736.718	Vapor	1	
673.15	557288.000	763.840	Vapor	1	
673.15	607950.000	787.904	Vapor	1	
673.15	658612.000	810.006	Vapor	1	
673.15	709275.000	830.911	Vapor	1	
673.15	759938.000	850.076	Vapor	1	
673.15	810600.000	867.720	Vapor	1	
673.15	861262.000	884.433	Vapor	1	
673.15	911925.000	899.775	Vapor	1	
673.15	962588.000	912.973	Vapor	1	
673.15	1013250.000	925.950	Vapor	1	
T [K]	P [kPa]	Density [kg/m3]	State	Reference	
400.00	100000.000	478.000	Supercritical	2	
