Formula	Molar Mass	CAS Registry Number	Name
C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone
$$$Compressibility (isothermal)
T [K]	P [kPa]	Compressibility (isothermal) [/kPa]	State	Reference
278.15	100.000	4.72500005344E-007	Liquid	1
278.15	1000.000	4.70499998073E-007	Liquid	1
278.15	5000.000	4.61700011556E-007	Liquid	1
278.15	10000.000	4.51200008911E-007	Liquid	1
278.15	15000.000	4.41200000978E-007	Liquid	1
278.15	20000.000	4.31600000184E-007	Liquid	1
278.15	25000.000	4.22499994102E-007	Liquid	1
278.15	30000.000	4.13700007584E-007	Liquid	1
278.15	35000.000	4.05400015779E-007	Liquid	1
278.15	40000.000	3.97400015117E-007	Liquid	1
278.15	45000.000	3.89700005599E-007	Liquid	1
278.15	50000.000	3.82300015644E-007	Liquid	1
278.15	55000.000	3.75200016833E-007	Liquid	1
278.15	60000.000	3.68400009165E-007	Liquid	1
288.15	100.000	4.95800009048E-007	Liquid	1
288.15	1000.000	4.93599998208E-007	Liquid	1
288.15	5000.000	4.8390000984E-007	Liquid	1
288.15	10000.000	4.7240001777E-007	Liquid	1
288.15	15000.000	4.61399991991E-007	Liquid	1
288.15	20000.000	4.50900017768E-007	Liquid	1
288.15	25000.000	4.40999997409E-007	Liquid	1
288.15	30000.000	4.3150001261E-007	Liquid	1
288.15	35000.000	4.22400006528E-007	Liquid	1
288.15	40000.000	4.13700007584E-007	Liquid	1
288.15	45000.000	4.05400015779E-007	Liquid	1
288.15	50000.000	3.97400015117E-007	Liquid	1
288.15	55000.000	3.89799993172E-007	Liquid	1
288.15	60000.000	3.82400003218E-007	Liquid	1
298.15	100.000	5.21700030731E-007	Liquid	1
298.15	1000.000	5.19200000326E-007	Liquid	1
298.15	5000.000	5.08500022534E-007	Liquid	1
298.15	10000.000	4.95800009048E-007	Liquid	1
298.15	15000.000	4.83700034692E-007	Liquid	1
298.15	20000.000	4.72300001775E-007	Liquid	1
298.15	25000.000	4.61399991991E-007	Liquid	1
298.15	30000.000	4.5099997692E-007	Liquid	1
298.15	35000.000	4.41100013404E-007	Liquid	1
298.15	40000.000	4.31600000184E-007	Liquid	1
298.15	45000.000	4.22600010097E-007	Liquid	1
298.15	50000.000	4.13900011154E-007	Liquid	1
298.15	55000.000	4.05700006922E-007	Liquid	1
298.15	60000.000	3.9770000626E-007	Liquid	1
308.15	100.000	5.50500033114E-007	Liquid	1
308.15	1000.000	5.47800027562E-007	Liquid	1
308.15	5000.000	5.35900028353E-007	Liquid	1
308.15	10000.000	5.21800018305E-007	Liquid	1
