Formula	Molar Mass	CAS Registry Number	Name	
CH4O	32.042	67-56-1	Methanol	
$$$Boiling Point	
T [K]	P [kPa]	State	Reference	
337.60		Vapor-Liquid	1	
Number	Source	
1	Karunanithi B.; Bogeshwaran K.; Sofia K.: Isobaric Vapour Liquid Equilibrium for Acetone + Methanol + Calcium Bromide at Different Concentration. Int.J.Eng.Res.Develop.IJERD 3 (2012) 45-49	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
308.15	1.10399992082E-006	Liquid	1	
Number	Source	
1	Reddy V.K.; Rambabu K.; Devarajulu T.; Krishnaiah A.: Volume of Mixing, Speed of Sound, and Viscosity of Methyl Cellosolve with Aliphatic Alcohols at 308.15 K. J.Chem.Eng.Data 40 (1995) 124-127	
$$$Compressibility (isothermal)	
T [K]	P [kPa]	Compressibility (isothermal) [/kPa]	State	Reference	
208.17	390.000	7.14999998763E-007	Liquid	1	
208.17	2110.000	6.77999992149E-007	Liquid	1	
208.17	5020.000	6.6299998025E-007	Liquid	1	
208.17	7970.000	6.46999978926E-007	Liquid	1	
208.17	10910.000	6.36999970993E-007	Liquid	1	
208.17	13880.000	6.23999994787E-007	Liquid	1	
208.17	16980.000	6.12000008005E-007	Liquid	1	
208.17	20090.000	6.02000000072E-007	Liquid	1	
208.17	23230.000	5.9000001329E-007	Liquid	1	
208.17	30160.000	5.67999961731E-007	Liquid	1	
208.17	33540.000	5.56999964374E-007	Liquid	1	
208.17	37190.000	5.45999967017E-007	Liquid	1	
208.17	41120.000	5.33999980235E-007	Liquid	1	
208.17	45130.000	5.26000007994E-007	Liquid	1	
208.17	49210.000	5.15000010637E-007	Liquid	1	
208.17	53370.000	5.04000013279E-007	Liquid	1	
208.17	57610.000	4.94999994771E-007	Liquid	1	
208.17	61920.000	4.84999986838E-007	Liquid	1	
208.17	66300.000	4.78000004023E-007	Liquid	1	
208.17	70740.000	4.70000003361E-007	Liquid	1	
208.17	75250.000	4.59999995428E-007	Liquid	1	
208.17	79850.000	4.52999984191E-007	Liquid	1	
208.17	84300.000	4.47999980224E-007	Liquid	1	
208.17	88600.000	4.40999997409E-007	Liquid	1	
208.17	92960.000	4.34999975596E-007	Liquid	1	
208.17	97910.000	4.17999984847E-007	Liquid	1	
223.17	1060.000	7.58999988193E-007	Liquid	1	
223.17	3160.000	7.43999976294E-007	Liquid	1	
223.17	5540.000	7.2799997497E-007	Liquid	1	
223.17	8010.000	7.13999952495E-007	Liquid	1	
223.17	10640.000	7.00999976289E-007	Liquid	1	
223.17	13500.000	6.8399998554E-007	Liquid	1	
223.17	16660.000	6.61999990825E-007	Liquid	1	
223.17	19820.000	6.58999965708E-007	Liquid	1	
223.17	22850.000	6.45000000077E-007	Liquid	1	
223.17	25930.000	6.32999956451E-007	Liquid	1	
223.17	29040.000	6.19999980245E-007	Liquid	1	
223.17	32210.000	6.07999993463E-007	Liquid	1	
223.17	35450.000	5.9799998553E-007	Liquid	1	
223.17	38770.000	5.86999988172E-007	Liquid	1	
223.17	42230.000	5.74000011966E-007	Liquid	1	
223.17	45780.000	5.65999982882E-007	Liquid	1	
223.17	49400.000	5.54999985525E-007	Liquid	1	
223.17	53080.000	5.44999977592E-007	Liquid	1	
223.17	56960.000	5.30000022536E-007	Liquid	1	
223.17	61040.000	5.22999982877E-007	Liquid	1	
223.17	65060.000	5.15000010637E-007	Liquid	1	
223.17	69050.000	5.05999992129E-007	Liquid	1	
223.17	73000.000	4.97999963045E-007	Liquid	1	
223.17	76980.000	4.89999990805E-007	Liquid	1	
223.17	81110.000	4.81999961721E-007	Liquid	1	
223.17	85330.000	4.7199998221E-007	Liquid	1	
223.17	89630.000	4.65999988819E-007	Liquid	1	
223.17	94200.000	4.53999973615E-007	Liquid	1	
223.17	98850.000	4.5099997692E-007	Liquid	1	
248.19	1680.000	8.60000000102E-007	Liquid	1	
248.19	4590.000	8.52999960443E-007	Liquid	1	
248.19	7250.000	8.35999969695E-007	Liquid	1	
248.19	9880.000	8.17999989522E-007	Liquid	1	
248.19	12580.000	8.00999998773E-007	Liquid	1	
248.19	15470.000	7.74000000092E-007	Liquid	1	
248.19	18450.000	7.61999956467E-007	Liquid	1	
248.19	21360.000	7.47999990836E-007	Liquid	1	
248.19	24330.000	7.30000010662E-007	Liquid	1	
248.19	27310.000	7.18999956462E-007	Liquid	1	
248.19	30180.000	7.0699996968E-007	Liquid	1	
248.19	33000.000	6.9199995778E-007	Liquid	1	
248.19	35670.000	6.8399998554E-007	Liquid	1	
248.19	38600.000	6.63999969674E-007	Liquid	1	
248.19	41780.000	6.55999997434E-007	Liquid	1	
248.19	44760.000	6.45000000077E-007	Liquid	1	
248.19	47880.000	6.32999956451E-007	Liquid	1	
248.19	51230.000	6.1899999082E-007	Liquid	1	
248.19	54640.000	6.08999982887E-007	Liquid	1	
248.19	57930.000	5.98999974954E-007	Liquid	1	
248.19	61270.000	5.85000009323E-007	Liquid	1	
248.19	64800.000	5.7500000139E-007	Liquid	1	
248.19	68310.000	5.65999982882E-007	Liquid	1	
248.19	71740.000	5.56999964374E-007	Liquid	1	
248.19	75070.000	5.48999992134E-007	Liquid	1	
248.19	78410.000	5.4099996305E-007	Liquid	1	
248.19	81890.000	5.31000011961E-007	Liquid	1	
248.19	85380.000	5.24999961726E-007	Liquid	1	
248.19	88990.000	5.17999978911E-007	Liquid	1	
248.19	92540.000	5.17999978911E-007	Liquid	1	
248.19	96400.000	4.99999998738E-007	Liquid	1	
248.19	100840.000	4.89999990805E-007	Liquid	1	
263.17	1420.000	9.63999923442E-007	Liquid	1	
263.17	3920.000	9.41999985571E-007	Liquid	1	
263.17	6360.000	9.19999990856E-007	Liquid	1	
263.17	8840.000	9.0199995384E-007	Liquid	1	
263.17	11360.000	8.81999994817E-007	Liquid	1	
263.17	13920.000	8.61999978952E-007	Liquid	1	
263.17	16580.000	8.41999963086E-007	Liquid	1	
263.17	19270.000	8.25999961762E-007	Liquid	1	
263.17	22000.000	8.06999992164E-007	Liquid	1	
263.17	24860.000	7.87999965723E-007	Liquid	1	
263.17	27740.000	7.72999953824E-007	Liquid	1	
263.17	30600.000	7.55999963076E-007	Liquid	1	
263.17	33550.000	7.40999951176E-007	Liquid	1	
263.17	36560.000	7.25999996121E-007	Liquid	1	
263.17	39590.000	7.10999984221E-007	Liquid	1	
263.17	42670.000	6.96999961747E-007	Liquid	1	
263.17	45790.000	6.8399998554E-007	Liquid	1	
263.17	48960.000	6.71999998758E-007	Liquid	1	
263.17	52170.000	6.57999976283E-007	Liquid	1	
263.17	55430.000	6.45999989501E-007	Liquid	1	
263.17	58830.000	6.31999967027E-007	Liquid	1	
263.17	62280.000	6.20999969669E-007	Liquid	1	
263.17	65720.000	6.12000008005E-007	Liquid	1	
263.17	69340.000	5.96999996105E-007	Liquid	1	
263.17	73030.000	5.87999977597E-007	Liquid	1	
263.17	76640.000	5.77999969664E-007	Liquid	1	
263.17	80310.000	5.67999961731E-007	Liquid	1	
263.17	84120.000	5.56999964374E-007	Liquid	1	
263.17	88070.000	5.46999956441E-007	Liquid	1	
263.17	92050.000	5.51999960408E-007	Liquid	1	
263.17	95980.000	5.3299999081E-007	Liquid	1	
263.17	100060.000	5.21999993452E-007	Liquid	1	
273.17	1010.000	1.05200001599E-006	Liquid	1	
273.17	3000.000	1.02100000277E-006	Liquid	1	
273.17	5050.000	1.00299996575E-006	Liquid	1	
273.17	7100.000	9.81999960459E-007	Liquid	1	
273.17	9170.000	9.61999944593E-007	Liquid	1	
273.17	11220.000	9.46999989537E-007	Liquid	1	
273.17	13320.000	9.24999994822E-007	Liquid	1	
273.17	15430.000	9.11999961772E-007	Liquid	1	
273.17	17510.000	8.89999967058E-007	Liquid	1	
273.17	19750.000	8.71999986884E-007	Liquid	1	
273.17	22140.000	8.55999985561E-007	Liquid	1	
273.17	24880.000	8.25999961762E-007	Liquid	1	
273.17	27900.000	8.10000017282E-007	Liquid	1	
273.17	30870.000	7.90999990841E-007	Liquid	1	
273.17	38720.000	7.28999964394E-007	Liquid	1	
273.17	42290.000	7.20999992154E-007	Liquid	1	
273.17	45710.000	7.10999984221E-007	Liquid	1	
273.17	49180.000	6.9199995778E-007	Liquid	1	
273.17	52690.000	6.78999981574E-007	Liquid	1	
273.17	55980.000	6.72999988183E-007	Liquid	1	
273.17	59210.000	6.56999986859E-007	Liquid	1	
273.17	62510.000	6.45999989501E-007	Liquid	1	
273.17	65790.000	6.34999992144E-007	Liquid	1	
273.17	69160.000	6.23999994787E-007	Liquid	1	
273.17	72680.000	6.1899999082E-007	Liquid	1	
273.17	76170.000	6.02000000072E-007	Liquid	1	
273.17	79630.000	5.9000001329E-007	Liquid	1	
273.17	83150.000	5.81999984206E-007	Liquid	1	
273.17	86550.000	5.72999965698E-007	Liquid	1	
273.17	90030.000	5.62999957765E-007	Liquid	1	
273.17	94000.000	5.46999956441E-007	Liquid	1	
273.17	98210.000	5.43999988167E-007	Liquid	1	
298.16	740.000	1.2659999129E-006	Liquid	1	
298.16	2360.000	1.21699997635E-006	Liquid	1	
298.16	4230.000	1.1849999737E-006	Liquid	1	
298.16	6090.000	1.16799992611E-006	Liquid	1	
298.16	7970.000	1.13699991289E-006	Liquid	1	
298.16	9920.000	1.11800000013E-006	Liquid	1	
298.16	11950.000	1.08699998691E-006	Liquid	1	
298.16	14020.000	1.06200002392E-006	Liquid	1	
298.16	16080.000	1.04499997633E-006	Liquid	1	
298.16	18190.000	1.0179999208E-006	Liquid	1	
298.16	20320.000	1.00199997632E-006	Liquid	1	
298.16	22490.000	9.81999960459E-007	Liquid	1	
298.16	24710.000	9.58999976319E-007	Liquid	1	
298.16	26990.000	9.36999981604E-007	Liquid	1	
298.16	29290.000	9.2299995913E-007	Liquid	1	
298.16	31700.000	8.98999985566E-007	Liquid	1	
298.16	34090.000	8.84999963091E-007	Liquid	1	
298.16	36550.000	8.64999947225E-007	Liquid	1	
298.16	39120.000	8.46999967052E-007	Liquid	1	
298.16	41740.000	8.29999976304E-007	Liquid	1	
298.16	44450.000	8.1399997498E-007	Liquid	1	
298.16	47180.000	7.95999994807E-007	Liquid	1	
298.16	49870.000	7.82999961757E-007	Liquid	1	
298.16	52590.000	7.67999949858E-007	Liquid	1	
298.16	55320.000	7.569999525E-007	Liquid	1	
298.16	58040.000	7.42999986869E-007	Liquid	1	
298.16	60870.000	7.2799997497E-007	Liquid	1	
298.16	63900.000	7.13999952495E-007	Liquid	1	
298.16	66990.000	7.02999955138E-007	Liquid	1	
298.16	69960.000	6.88999989507E-007	Liquid	1	
298.16	73410.000	6.64999959099E-007	Liquid	1	
298.16	77320.000	6.5500000801E-007	Liquid	1	
298.16	80990.000	6.48999957775E-007	Liquid	1	
298.16	84450.000	6.36999970993E-007	Liquid	1	
298.16	87890.000	6.40999985535E-007	Liquid	1	
298.16	91290.000	6.16999955128E-007	Liquid	1	
298.16	94830.000	6.04999968346E-007	Liquid	1	
298.16	98440.000	6.02000000072E-007	Liquid	1	
Number	Source	
1	Taravillo M.; Perez F.J.; Nunez J.; Caceres M.; Baonza V.G.: Thermodynamic Properties of Compressed Liquid Methanol in the Vicinity of the Freezing Line. J.Chem.Eng.Data 52 (2007) 481-486	
$$$Critical Data	
T [K]	P [kPa]	State	Reference	
505.91	7381.500	Critical Point	3	
512.58	8097.200	Critical Point	6	
512.64	8097.100	Critical Point	5	
513.15	7963.500	Critical Point	1	
513.15	7984.000	Critical Point	2	
513.35		Critical Point	4	
Number	Source	
1	McCracken P.G.; Storvick T.S.; Smith J.M.: Benzene-Ethyl Alcohol and n-Pentane-Ethyl Alcohol Systems. J.Chem.Eng.Data 5 (1960) 130-132	
2	Krichevskii I.R.; Khazanova N.E.; Linshits L.R.: Liquid-Vapor Equilibrium in the System Benzene-Methanol under High Pressures. Zh.Fiz.Khim. 31 (1957) 2711-2716	
3	Hannay J.B.: On the limit of the liquid state.. Proc.Roy.Soc.London 33 (1882) 294-321	
4	Centnerszwer M.: Determination of the critical volumes using the method of Cailletet and Mathias. (Ger). Z.Phys.Chem.(Leipzig) 46 (1903) 199-207	
5	Ambrose D.; Sprake C.H.S.; Townsend R.: Thermodynamic properties of organic oxygen compounds. XXXVII. Vapour pressures of methanol, ethanol, pentan-1-ol, and octan-1-ol from the normal boiling temperature to the critical temperature.. J.Chem.Thermodyn. 7 (1975) 185-190	
6	Kay W.B.; Donham W.E.: Liquid-Vapour Equilibria in the Iso-Butanol, Methanol-n-Butanol and Diethyl Ether-n-Butanol Systems. Chem.Eng.Sci. 4 (1955) 1-16	
$$$Density	
T [K]	P [kPa]	Density [kg/m3]	State	Reference	
176.15		904.600	Liquid	5	
183.15		897.000	Liquid	5	
193.15		886.800	Liquid	5	
203.15		876.500	Liquid	5	
213.15		866.600	Liquid	5	
223.15		857.200	Liquid	5	
233.15		847.800	Liquid	5	
243.15		838.400	Liquid	5	
253.15		829.000	Liquid	5	
263.15		819.600	Liquid	5	
273.15		810.200	Liquid	5	
278.15		805.430	Liquid	3	
283.15		800.800	Liquid	5	
288.15		796.090	Liquid	3	
293.15		791.200	Liquid	1	
293.15		791.300	Liquid	5	
298.15		786.560	Liquid	3	
298.15		787.000	Liquid	5	
