Formula	Molar Mass	CAS Registry Number	Name
CH4	16.043	74-82-8	Methane
$$$Compressibility Factor (isothermal)
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference
323.78	1013.250	0.9937	Vapor	1
323.78	2026.500	0.975	Vapor	1
323.78	3039.750	0.9629	Vapor	1
323.78	4053.000	0.9512	Vapor	1
323.78	5066.250	0.9402	Vapor	1
323.78	6079.500	0.930	Vapor	1
323.78	7092.750	0.9205	Vapor	1
323.78	8106.000	0.9117	Vapor	1
323.78	9119.250	0.9037	Vapor	1
323.78	10132.500	0.8966	Vapor	1
323.78	11145.800	0.8904	Vapor	1
323.78	12159.000	0.8851	Vapor	1
323.78	13172.200	0.8808	Vapor	1
323.78	14185.500	0.8775	Vapor	1
323.78	15198.800	0.875	Vapor	1
323.78	16212.000	0.8738	Vapor	1
323.78	17225.201	0.8737	Vapor	1
323.78	18238.500	0.8747	Vapor	1
323.78	19251.801	0.8767	Vapor	1
323.78	20265.000	0.8796	Vapor	1
323.78	25331.201	0.907	Vapor	1
323.78	30397.500	0.951	Vapor	1
323.78	35463.801	1.004	Vapor	1
323.78	40530.000	1.062	Vapor	1
323.78	45596.199	1.123	Vapor	1
323.78	50662.500	1.188	Vapor	1
323.78	55728.801	1.253	Vapor	1
323.78	60795.000	1.319	Vapor	1
323.78	65861.203	1.385	Vapor	1
323.78	70927.500	1.450	Vapor	1
323.78	75993.805	1.515	Vapor	1
323.78	81060.000	1.580	Vapor	1
323.78	86126.203	1.645	Vapor	1
323.78	91192.500	1.710	Vapor	1
323.78	96258.805	1.774	Vapor	1
323.78	101325.000	1.838	Vapor	1
323.78	106391.000	1.901	Vapor	1
323.78	111458.000	1.964	Vapor	1
323.78	116524.000	2.027	Vapor	1
323.78	121590.000	2.089	Vapor	1
323.78	126656.000	2.151	Vapor	1
323.78	131722.000	2.213	Vapor	1
323.78	136789.000	2.274	Vapor	1
323.78	141855.000	2.335	Vapor	1
323.78	146921.000	2.396	Vapor	1
323.78	151988.000	2.456	Vapor	1
323.78	157054.000	2.516	Vapor	1
323.78	162120.000	2.576	Vapor	1
323.78	167186.000	2.636	Vapor	1
323.78	172252.000	2.695	Vapor	1
323.78	177319.000	2.754	Vapor	1
323.78	182385.000	2.813	Vapor	1
323.78	187451.000	2.872	Vapor	1
323.78	192518.000	2.930	Vapor	1
323.78	197584.000	2.988	Vapor	1
323.78	202650.000	3.046	Vapor	1
323.78	207716.000	3.102	Vapor	1
323.78	212782.000	3.160	Vapor	1
323.78	217849.000	3.217	Vapor	1
323.78	222915.000	3.275	Vapor	1
323.78	227981.000	3.332	Vapor	1
323.78	233048.000	3.388	Vapor	1
323.78	238114.000	3.444	Vapor	1
323.78	243180.000	3.500	Vapor	1
323.78	248246.000	3.555	Vapor	1
323.78	253312.000	3.610	Vapor	1
323.78	258379.000	3.665	Vapor	1
323.78	263445.000	3.719	Vapor	1
323.78	268511.000	3.773	Vapor	1
323.78	273578.000	3.826	Vapor	1
323.78	278644.000	3.879	Vapor	1
323.78	283710.000	3.933	Vapor	1
323.78	288776.000	3.985	Vapor	1
323.78	293842.000	4.038	Vapor	1
323.78	298909.000	4.090	Vapor	1
323.78	303975.000	4.142	Vapor	1
374.49	1013.250	0.9933	Vapor	1
374.49	2026.500	0.9868	Vapor	1
374.49	3039.750	0.9807	Vapor	1
374.49	4053.000	0.9752	Vapor	1
374.49	5066.250	0.9701	Vapor	1
374.49	6079.500	0.9654	Vapor	1
374.49	7092.750	0.9612	Vapor	1
374.49	8106.000	0.9575	Vapor	1
374.49	9119.250	0.9543	Vapor	1
374.49	10132.500	0.9515	Vapor	1
374.49	11145.800	0.9492	Vapor	1
374.49	12159.000	0.9475	Vapor	1
374.49	13172.200	0.9464	Vapor	1
374.49	14185.500	0.9458	Vapor	1
374.49	15198.800	0.9459	Vapor	1
374.49	16212.000	0.9465	Vapor	1
374.49	17225.201	0.9477	Vapor	1
374.49	18238.500	0.9494	Vapor	1
374.49	19251.801	0.9517	Vapor	1
374.49	20265.000	0.9544	Vapor	1
374.49	25331.201	0.975	Vapor	1
374.49	30397.500	1.006	Vapor	1
374.49	35463.801	1.045	Vapor	1
374.49	40530.000	1.089	Vapor	1
374.49	45596.199	1.138	Vapor	1
374.49	50662.500	1.188	Vapor	1
374.49	55728.801	1.241	Vapor	1
374.49	60795.000	1.294	Vapor	1
374.49	65861.203	1.349	Vapor	1
374.49	70927.500	1.404	Vapor	1
374.49	75993.805	1.460	Vapor	1
374.49	81060.000	1.515	Vapor	1
374.49	86126.203	1.571	Vapor	1
374.49	91192.500	1.626	Vapor	1
374.49	96258.805	1.681	Vapor	1
374.49	101325.000	1.736	Vapor	1
374.49	106391.000	1.791	Vapor	1
374.49	111458.000	1.846	Vapor	1
374.49	116524.000	1.900	Vapor	1
374.49	121590.000	1.955	Vapor	1
374.49	126656.000	2.008	Vapor	1
374.49	131722.000	2.062	Vapor	1
374.49	136789.000	2.115	Vapor	1
374.49	141855.000	2.169	Vapor	1
374.49	146921.000	2.221	Vapor	1
374.49	151988.000	2.274	Vapor	1
374.49	157054.000	2.326	Vapor	1
374.49	162120.000	2.379	Vapor	1
374.49	167186.000	2.430	Vapor	1
374.49	172252.000	2.482	Vapor	1
374.49	177319.000	2.534	Vapor	1
374.49	182385.000	2.585	Vapor	1
374.49	187451.000	2.636	Vapor	1
374.49	192518.000	2.686	Vapor	1
374.49	197584.000	2.737	Vapor	1
374.49	202650.000	2.788	Vapor	1
374.49	207716.000	2.838	Vapor	1
374.49	212782.000	2.888	Vapor	1
374.49	217849.000	2.937	Vapor	1
374.49	222915.000	2.987	Vapor	1
374.49	227981.000	3.036	Vapor	1
374.49	233048.000	3.085	Vapor	1
374.49	238114.000	3.134	Vapor	1
374.49	243180.000	3.182	Vapor	1
374.49	248246.000	3.231	Vapor	1
374.49	253312.000	3.279	Vapor	1
374.49	258379.000	3.327	Vapor	1
374.49	263445.000	3.375	Vapor	1
374.49	268511.000	3.423	Vapor	1
374.49	273578.000	3.470	Vapor	1
374.49	278644.000	3.517	Vapor	1
374.49	283710.000	3.564	Vapor	1
374.49	288776.000	3.611	Vapor	1
374.49	293842.000	3.658	Vapor	1
374.49	298909.000	3.704	Vapor	1
374.49	303975.000	3.751	Vapor	1
425.03	1013.250	0.997	Vapor	1
425.03	2026.500	0.9942	Vapor	1
425.03	3039.750	0.9917	Vapor	1
425.03	4053.000	0.9895	Vapor	1
425.03	5066.250	0.9873	Vapor	1
425.03	6079.500	0.9856	Vapor	1
425.03	7092.750	0.9843	Vapor	1
425.03	8106.000	0.9834	Vapor	1
425.03	9119.250	0.9829	Vapor	1
425.03	10132.500	0.9826	Vapor	1
425.03	11145.800	0.9825	Vapor	1
425.03	12159.000	0.9828	Vapor	1
425.03	13172.200	0.9835	Vapor	1
425.03	14185.500	0.9845	Vapor	1
425.03	15198.800	0.9858	Vapor	1
425.03	16212.000	0.9875	Vapor	1
425.03	17225.201	0.9896	Vapor	1
425.03	18238.500	0.992	Vapor	1
425.03	19251.801	0.9947	Vapor	1
425.03	20265.000	0.9975	Vapor	1
425.03	25331.201	1.017	Vapor	1
425.03	30397.500	1.044	Vapor	1
425.03	35463.801	1.076	Vapor	1
425.03	40530.000	1.112	Vapor	1
425.03	45596.199	1.152	Vapor	1
425.03	50662.500	1.193	Vapor	1
425.03	55728.801	1.237	Vapor	1
425.03	60795.000	1.282	Vapor	1
425.03	65861.203	1.328	Vapor	1
425.03	70927.500	1.375	Vapor	1
425.03	75993.805	1.422	Vapor	1
425.03	81060.000	1.470	Vapor	1
425.03	86126.203	1.518	Vapor	1
425.03	91192.500	1.566	Vapor	1
425.03	96258.805	1.614	Vapor	1
425.03	101325.000	1.662	Vapor	1
425.03	106391.000	1.710	Vapor	1
425.03	111458.000	1.758	Vapor	1
425.03	116524.000	1.805	Vapor	1
425.03	121590.000	1.853	Vapor	1
425.03	126656.000	1.900	Vapor	1
425.03	131722.000	1.947	Vapor	1
425.03	136789.000	1.993	Vapor	1
425.03	141855.000	2.040	Vapor	1
425.03	146921.000	2.086	Vapor	1
425.03	151988.000	2.132	Vapor	1
425.03	157054.000	2.178	Vapor	1
425.03	162120.000	2.224	Vapor	1
425.03	167186.000	2.269	Vapor	1
425.03	172252.000	2.315	Vapor	1
425.03	177319.000	2.360	Vapor	1
425.03	182385.000	2.405	Vapor	1
425.03	187451.000	2.450	Vapor	1
425.03	192518.000	2.495	Vapor	1
425.03	197584.000	2.540	Vapor	1
425.03	202650.000	2.584	Vapor	1
425.03	207716.000	2.629	Vapor	1
425.03	212782.000	2.674	Vapor	1
425.03	217849.000	2.718	Vapor	1
425.03	222915.000	2.763	Vapor	1
425.03	227981.000	2.807	Vapor	1
425.03	233048.000	2.851	Vapor	1
425.03	238114.000	2.896	Vapor	1
425.03	243180.000	2.940	Vapor	1
425.03	248246.000	2.984	Vapor	1
425.03	253312.000	3.028	Vapor	1
425.03	258379.000	3.073	Vapor	1
425.03	263445.000	3.117	Vapor	1
425.03	268511.000	3.161	Vapor	1
425.03	273578.000	3.205	Vapor	1
425.03	278644.000	3.249	Vapor	1
425.03	283710.000	3.292	Vapor	1
425.03	288776.000	3.336	Vapor	1
425.03	293842.000	3.380	Vapor	1
425.03	298909.000	3.424	Vapor	1
425.03	303975.000	3.468	Vapor	1
Number	Source
1	Deffet K.; Lialine L.; Ficks F.: La compressibilité du méthane jusqu'à 3.000 kg/cm3. Ind.Chim.Belge 29 (1964) 879-888
$$$Critical Data
T [K]	P [kPa]	State	Reference
173.65	5066.000	Critical Point	5
190.50		Critical Point	6
190.55	4599.200	Critical Point	2
190.78		Critical Point	4
191.35	5563.000	Critical Point	1
Number	Source
1	Olszewski C.: On the Liquefaction of Gases. London Edinb.Dub.Philos.Mag.J.Sci. 39 (1895) 188-212
2	Kleinrahm R.; Wagner W.: Measurement and Correlation of the Equilibrium Liquid and Vapour Densities and the Vapour Pressure Along the Coexistence Curve of Methane. J.Chem.Thermodyn. 18 (1986) 739-760
3	Kleinrahm R.; Duschek W.; Wagner W.: (Pressure, density, temperature) measurements in the critical region of methane. J.Chem.Thermodyn. 18 (1986) 1103-1114
4	Terry M.J.; Lynch J.T.; Bunclark M.; Mansell K.R.; Staveley L.A.K.: The Densities of Liquid Argon, Krypton, Xenon, Oxygen, Nitrogen, Carbon Monoxide, Methane, and Carbon Tetrafluoride Along the Orthobaric Liquid Curve.. J.Chem.Thermodyn. 1 (1969) 413-424
5	Dewar J.: On the Liquefaction of Oxygen and the Critical Volumes of Fluids. London Edinb.Dub.Philos.Mag.J.Sci. 18 (1884) 210-216
6	Olson J.D.: The refractive index and Lorenz-Lorentz function of fluid methane.. J.Chem.Phys. 63 (1975) 474-484
$$$Density
T [K]	P [kPa]	Density [kg/m3]	State	Reference
110.00		425.000	Liquid Phase of VLE	5
111.66	101.325	404.000	Liquid	4
125.00		402.300	Liquid Phase of VLE	5
155.00		347.800	Liquid Phase of VLE	5
179.35		280.100	Liquid Phase of VLE	1
180.00		276.400	Liquid Phase of VLE	5
182.71		265.000	Liquid Phase of VLE	1
184.73		254.100	Liquid Phase of VLE	1
188.37		226.800	Liquid Phase of VLE	1
189.50		212.200	Liquid Phase of VLE	1
190.44		190.000	Liquid Phase of VLE	1
190.62		177.100	Liquid Phase of VLE	1
190.64		172.600	Liquid Phase of VLE	1
190.66		164.200	Liquid Phase of VLE	1
T [K]	P [kPa]	Density [kg/m3]	State	Reference
308.17	130.000	0.8148	Vapor	3
308.17	2467.700	16.038	Vapor	3
308.17	4771.000	32.080	Vapor	3
308.17	6945.500	48.123	Vapor	3
308.17	9027.500	64.160	Vapor	3
308.17	11057.000	80.206	Vapor	3
308.17	13072.700	96.246	Vapor	3
308.17	15118.800	112.286	Vapor	3
308.17	17243.500	128.325	Vapor	3
308.17	19502.400	144.368	Vapor	3
308.17	21959.900	160.410	Vapor	3
308.17	24692.301	176.450	Vapor	3
308.17	27792.801	192.490	Vapor	3
308.17	31373.201	208.530	Vapor	3
308.17	35569.500	224.570	Vapor	3
Number	Source
1	Anisimov M.A.; Beketov V.G.; Voronov V.P.; Nagaev V.B.; Smirnov V.A.: Experimentelle Untersuchung der T-rho-Abhängigkeit an der Koexistenzkurve und Wärmeleitfähigkeit von Methan. Teplofiz.Svoistva Vesh.Mater.  (1982) 124-135
2	Dadashev M.N.; Abdulagatov I.M.: Use of Supercritical Fluids in Different Extraction Processes and Perspective of their Uses. Khim.Prom.  (1993) 512-519
