$$$Excess Heat Capacity Data Set 1367	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	298.15	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
0.8633	0.02350	
-0.6198	0.18950	
0.5081	0.35370	
-1.5469	0.47380	
-1.4138	0.58760	
-1.4668	0.69360	
-0.1129	0.80580	
0.0461	0.88780	
Source	
Burgdorf R.: Untersuchungen thermophysikalischer Eigenschaften ausgewählter organischer Flüssigkeitsgemische. Berichte aus der Verfahrenstechnik  (1995) 1-235	
Source	
Burgdorf R.: Untersuchungen thermophysikalischer Eigenschaften ausgewählter organischer Flüssigkeitsgemische. Berichte aus der Verfahrenstechnik  (1995) 1-235	
