$$$Excess Heat Capacity Data Set 104	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H14	86.177	110-54-3	Hexane	
2	C6H6	78.114	71-43-2	Benzene	
Temperature	298.20	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
-1.3800	0.09530	
-2.5000	0.24770	
-2.9100	0.41020	
-2.8700	0.49900	
-2.6200	0.60710	
-2.0700	0.73580	
-0.8100	0.91610	
Source	
Costas M.; Patterson D.: Excess Heat Capacities of Some Normal Alkanes (C6 - C16) + Benzene, + Toluene, or + 1,4-Dimethylbenzene. Int.Data Series Sel.Data Mixtures Ser. A 1985 (1985) 212-223	
Source	
Costas M.; Patterson D.: Excess Heat Capacities of Some Normal Alkanes (C6 - C16) + Benzene, + Toluene, or + 1,4-Dimethylbenzene. Int.Data Series Sel.Data Mixtures Ser. A 1985 (1985) 212-223	
